diet_pathway,source_scenario,year,world_commodity,source_commodities,baseline_kg_per_capita,pathway_kg_per_capita,preference_multiplier_vs_baseline,mapping_note
PTS,A1,2033,FMK,MILK,39.52715655677596,42.27669873714187,1.0695608391768967,common dairy-food multiplier
PTS,A1,2034,FMK,MILK,40.01881518358706,43.12357673225253,1.0775825454707322,common dairy-food multiplier
PTS,A1,2035,FMK,MILK,40.52128733750941,43.99251969456101,1.0856644145616365,common dairy-food multiplier
PTS,A1,2036,FMK,MILK,41.00623388512871,44.85290147106096,1.093806897670924,common dairy-food multiplier
PTS,A1,2037,FMK,MILK,41.5007538537791,45.73426440498764,1.1020104494035121,common dairy-food multiplier
PTS,A1,2038,FMK,MILK,41.98687376587926,46.6169984299937,1.1102755277740426,common dairy-food multiplier
PTS,A1,2039,FMK,MILK,42.46417372636009,47.50053489223948,1.1186025942323474,common dairy-food multiplier
PTS,A1,2040,FMK,MILK,42.93223919771442,48.38429499883781,1.1269921136890908,common dairy-food multiplier
PTS,A1,2041,FMK,MILK,43.3983424718728,49.2764116358268,1.1354445545417702,common dairy-food multiplier
PTS,A1,2042,FMK,MILK,43.87084102525766,50.186504351873,1.1439603887005318,common dairy-food multiplier
PTS,A1,2043,FMK,MILK,44.33412295177504,51.09685412855732,1.152540091616079,common dairy-food multiplier
PTS,A1,2044,FMK,MILK,44.78779877397847,52.00688170500855,1.1611841423031564,common dairy-food multiplier
PTS,A1,2045,FMK,MILK,45.2314853340205,52.91599912895446,1.1698930233704732,common dairy-food multiplier
PTS,A1,2046,FMK,MILK,45.6674991558636,53.82678432215095,1.1786672210457514,common dairy-food multiplier
PTS,A1,2047,FMK,MILK,46.09741523034646,54.74101364924672,1.187507225203596,common dairy-food multiplier
PTS,A1,2048,FMK,MILK,46.51655964298147,55.65304129766191,1.196413529392623,common dairy-food multiplier
PTS,A1,2049,FMK,MILK,46.92457721772912,56.56225803715373,1.2053866308630967,common dairy-food multiplier
PTS,A1,2050,FMK,MILK,47.3211213233869,57.46804885316443,1.214427030594534,common dairy-food multiplier
PTS,A1,2023,NBO,SOYO+RAPO+GRDO,21.60228989763562,21.60228989763562,1.0,total vegetable-oil multiplier
PTS,A1,2024,NBO,SOYO+RAPO+GRDO,22.17847303093135,22.17847303093135,1.0,total vegetable-oil multiplier
PTS,A1,2025,NBO,SOYO+RAPO+GRDO,22.242006901130008,22.28649091493226,1.0019999999999996,total vegetable-oil multiplier
PTS,A1,2026,NBO,SOYO+RAPO+GRDO,22.314617873578104,22.40396560354395,1.0040040000000017,total vegetable-oil multiplier
PTS,A1,2027,NBO,SOYO+RAPO+GRDO,22.39009698942575,22.524706431646948,1.0060120079999997,total vegetable-oil multiplier
PTS,A1,2028,NBO,SOYO+RAPO+GRDO,22.463007608462064,22.643251500688045,1.0080240320160014,total vegetable-oil multiplier
PTS,A1,2029,NBO,SOYO+RAPO+GRDO,22.534825000013715,22.761076447603358,1.010040080080032,total vegetable-oil multiplier
PTS,A1,2030,NBO,SOYO+RAPO+GRDO,22.604816447378603,22.87743415593413,1.0120601602401926,total vegetable-oil multiplier
PTS,A1,2031,NBO,SOYO+RAPO+GRDO,22.68410063086834,23.003589868419745,1.0140842805606605,total vegetable-oil multiplier
PTS,A1,2032,NBO,SOYO+RAPO+GRDO,22.767063058029336,23.133896203204504,1.0161124491217937,total vegetable-oil multiplier
PTS,A1,2033,NBO,SOYO+RAPO+GRDO,22.850008686724543,23.26461464570018,1.0181446740200373,total vegetable-oil multiplier
PTS,A1,2034,NBO,SOYO+RAPO+GRDO,22.933010722839796,23.395820972157196,1.0201809633680794,total vegetable-oil multiplier
PTS,A1,2035,NBO,SOYO+RAPO+GRDO,23.01641032819969,23.527865469221492,1.0222213252948122,total vegetable-oil multiplier
PTS,A1,2036,NBO,SOYO+RAPO+GRDO,23.10742102265488,23.668140339007333,1.0242657679454024,total vegetable-oil multiplier
PTS,A1,2037,NBO,SOYO+RAPO+GRDO,23.199059290130656,23.809526283975455,1.0263142994812942,total vegetable-oil multiplier
PTS,A1,2038,NBO,SOYO+RAPO+GRDO,23.287554783606836,23.948151175318444,1.0283669280802565,total vegetable-oil multiplier
PTS,A1,2039,NBO,SOYO+RAPO+GRDO,23.37287576279929,24.083964233488523,1.030423661936415,total vegetable-oil multiplier
PTS,A1,2040,NBO,SOYO+RAPO+GRDO,23.454992129580265,24.216916038613622,1.032484509260289,total vegetable-oil multiplier
PTS,A1,2041,NBO,SOYO+RAPO+GRDO,23.543927381417976,24.35735778908052,1.0345494782788254,total vegetable-oil multiplier
PTS,A1,2042,NBO,SOYO+RAPO+GRDO,23.63308303579926,24.498492912252903,1.0366185772352565,total vegetable-oil multiplier
