period,item_code,households,purchase_uv_share_lt_0_1,purchase_uv_share_lt_0_5,purchase_uv_n_unique_3dp,own_price_share_lt_0_1,purchase_uv_n,purchase_uv_mean,purchase_uv_sd,purchase_uv_p01,purchase_uv_p10,purchase_uv_p25,purchase_uv_p50,purchase_uv_p75,purchase_uv_p90,purchase_uv_p95,purchase_uv_p99,purchase_uv_max,own_price_n,own_price_mean,own_price_sd,own_price_p01,own_price_p10,own_price_p25,own_price_p50,own_price_p75,own_price_p90,own_price_p95,own_price_p99,own_price_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item,item_count
2023,干果,1760,0.006535947712418301,0.00980392156862745,80,,306,8.745733804472763,6.3008147575209135,1.1776470588235297,3.3333333333333335,5.0,8.0,10.0,14.0,18.674799999999998,36.33333333333326,62.499999999999986,0,,,,,,,,,,,,16,水果干果,干果（花生/瓜子/核桃等）,干果,16,水果,干果（花生/瓜子/南瓜子/西瓜子/核桃/杏仁/开心果等）,1,斤/月,元/斤,0,1
2024,干果,1787,0.0,0.0,71,,392,9.39958473946871,8.340994319268662,1.9100000000000001,4.0,5.999999999999999,8.0,10.666666666666666,15.0,16.896634615384613,28.86249999999997,141.5,0,,,,,,,,,,,,16,水果干果,干果（花生/瓜子/核桃等）,干果,16,水果,干果（花生/瓜子/南瓜子/西瓜子/核桃/杏仁/开心果等）,1,斤/月,元/斤,0,1
pooled_2023_2024,水产制品,3547,0.0,0.0,35,,83,19.842832869941304,14.70461135443282,3.82,7.100000000000001,10.0,15.0,25.0,32.66666666666666,40.0,69.24999999999972,100.0,0,,,,,,,,,,,,8,肉制品,咸鱼虾酱等腌制水产品,水产制品,8,肉类及制品,咸鱼虾酱等腌制水产品,1,斤/月,元/斤,0,1
2023,水产制品,1760,0.0,0.0,21,,39,18.035174227481917,17.209967451164257,5.0,6.333333333333333,10.0,14.999999999999996,20.0,30.0,36.25000000000004,85.7499999999999,100.0,0,,,,,,,,,,,,8,肉制品,咸鱼虾酱等腌制水产品,水产制品,8,肉类及制品,咸鱼虾酱等腌制水产品,1,斤/月,元/斤,0,1
2024,水产制品,1787,0.0,0.0,22,,44,21.445075757575754,12.041741344982059,3.4299999999999997,8.249999999999998,13.500000000000002,20.0,27.416666666666664,38.80000000000001,40.0,55.70000000000001,60.00000000000001,0,,,,,,,,,,,,8,肉制品,咸鱼虾酱等腌制水产品,水产制品,8,肉类及制品,咸鱼虾酱等腌制水产品,1,斤/月,元/斤,0,1
pooled_2023_2024,水产品,3547,0.0008605851979345956,0.0008605851979345956,221,,1162,13.69696074771059,11.078902079230632,2.122,5.0,8.0,10.0,16.666666666666664,25.763736263736266,30.63333333333337,57.10000000000011,201.5,0,,,,,,,,,,,,6,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,0,1
2023,水产品,1760,0.0,0.0,92,,421,12.633525511643224,9.707914265428508,2.0,5.0,7.0,10.0,15.200000000000001,24.999999999999996,30.0,58.000000000000114,70.0,0,,,,,,,,,,,,6,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,0,1
2024,水产品,1787,0.001349527665317139,0.001349527665317139,190,,741,14.30115269694724,11.750481642129644,2.4999999999999996,5.0,8.5,10.999999999999998,17.333333333333332,27.0,31.739130434782606,54.000000000000156,201.5,0,,,,,,,,,,,,6,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,0,1
pooled_2023_2024,水果制品,3547,0.007722007722007722,0.007722007722007722,88,,259,11.476034455924582,8.925675526338063,0.9833333333333335,4.7,6.0,9.333333333333332,13.875,20.0,30.0,48.06666666666663,60.0,0,,,,,,,,,,,,17,水果制品,罐头/果脯/糖渍水果；其他水果干（不含果脯）,水果制品,17,水果,罐头/果脯/糖渍水果; 其他除果脯以外的水果干（苹果干/草莓干/香蕉干/干枣等）,2,斤/月,元/斤,0,2
2023,水果制品,1760,0.005747126436781609,0.005747126436781609,68,,174,10.18380632973474,8.183991992038697,1.1083333333333334,4.383333333333333,6.0,8.463483146067416,11.607142857142858,15.000000000000002,23.349999999999994,46.61666666666686,60.0,0,,,,,,,,,,,,17,水果制品,罐头/果脯/糖渍水果；其他水果干（不含果脯）,水果制品,17,水果,罐头/果脯/糖渍水果; 其他除果脯以外的水果干（苹果干/草莓干/香蕉干/干枣等）,2,斤/月,元/斤,0,2
2024,水果制品,1787,0.011764705882352941,0.011764705882352941,45,,85,14.121301443654389,9.808754144404963,2.1079999999999997,4.999999999999999,7.5,10.000000000000002,17.5,30.0,30.000000000000004,47.199999999999996,50.0,0,,,,,,,,,,,,17,水果制品,罐头/果脯/糖渍水果；其他水果干（不含果脯）,水果制品,17,水果,罐头/果脯/糖渍水果; 其他除果脯以外的水果干（苹果干/草莓干/香蕉干/干枣等）,2,斤/月,元/斤,0,2
pooled_2023_2024,油脂,3547,0.0004512635379061372,0.0018050541516245488,356,,2216,8.985327985623444,6.9280473359697705,1.8300000000000005,5.0,6.000000000000001,7.940196078431373,10.0,13.051150895140665,16.0,30.000000000000004,200.0,0,,,,,,,,,,,,12,油脂类,大豆油；菜籽油；花生油；色拉油/调和油；其他植物油；动物油,油脂,12,油脂,大豆油; 菜籽油; 花生油; 色拉油/调和油; 其他植物油; 动物油,6,斤/月,元/斤,0,6
2023,油脂,1760,0.0010131712259371835,0.004052684903748734,201,,987,8.37521572664807,4.196327289884655,2.0,5.0,6.000000000000001,7.5555555555555545,9.999999999999998,12.424999999999997,15.0,24.0,60.0,0,,,,,,,,,,,,12,油脂类,大豆油；菜籽油；花生油；色拉油/调和油；其他植物油；动物油,油脂,12,油脂,大豆油; 菜籽油; 花生油; 色拉油/调和油; 其他植物油; 动物油,6,斤/月,元/斤,0,6
2024,油脂,1787,0.0,0.0,252,,1229,9.47530422615126,8.479239292036143,1.6560000000000004,5.0,6.000000000000001,8.0,10.833333333333334,14.000000000000002,16.666666666666664,42.88000000000011,200.0,0,,,,,,,,,,,,12,油脂类,大豆油；菜籽油；花生油；色拉油/调和油；其他植物油；动物油,油脂,12,油脂,大豆油; 菜籽油; 花生油; 色拉油/调和油; 其他植物油; 动物油,6,斤/月,元/斤,0,6
pooled_2023_2024,烟草,3547,0.0005988023952095808,0.0017964071856287425,169,,1670,29.16359293344073,79.44497789073492,1.2591428571428571,6.5,8.5,12.0,18.0,33.333333333333336,140.0,375.0,1524.9999999999998,0,,,,,,,,,,,,19,烟酒糖茶,烟,烟草,19,未纳入原六类,烟,1,包/月,元/包,0,1
2023,烟草,1760,0.0,0.0012738853503184713,100,,785,27.172414541998066,90.4117157196187,1.1418181818181818,5.5,7.500000000000001,10.0,14.999999999999998,31.200000000000045,120.00000000000001,300.0,1524.9999999999998,0,,,,,,,,,,,,19,烟酒糖茶,烟,烟草,19,未纳入原六类,烟,1,包/月,元/包,0,1
2024,烟草,1787,0.0011299435028248588,0.0022598870056497176,124,,885,30.929779416245815,68.26380961281818,1.4285714285714284,8.0,10.0,14.500000000000002,20.0,34.33333333333337,140.0,375.0,666.6666666666666,0,,,,,,,,,,,,19,烟酒糖茶,烟,烟草,19,未纳入原六类,烟,1,包/月,元/包,0,1
pooled_2023_2024,畜禽肉,3547,0.00035650623885918,0.0010695187165775401,1074,,2805,16.3395120098793,9.324333402455343,3.1009999999999995,9.327450980392157,11.0,14.068965517241379,19.284313725490197,25.24345794392523,30.79393939393934,50.0,142.85714285714286,0,,,,,,,,,,,,5,肉类,猪肉（不含排骨、腊肉）；猪排骨；牛肉；羊肉；下水内脏；鸡肉；其他禽肉（鸭肉/鹅肉/其他）；活禽（鸡）；活禽（鸭/鹅/其他）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）; 猪排骨; 牛肉; 羊肉; 下水内脏; 鸡肉; 其他禽肉（鸭肉/鹅肉/其他）; 活禽（鸡）; 活禽（鸭/鹅/其他）,9,斤/月,元/斤,0,9
2023,畜禽肉,1760,0.0006920415224913495,0.001384083044982699,582,,1445,14.112501891904559,9.027043085322024,2.953333333333333,8.835164835164836,10.0,11.799999999999999,15.0,22.0,28.784795321637414,52.519999999999754,99.99999999999999,0,,,,,,,,,,,,5,肉类,猪肉（不含排骨、腊肉）；猪排骨；牛肉；羊肉；下水内脏；鸡肉；其他禽肉（鸭肉/鹅肉/其他）；活禽（鸡）；活禽（鸭/鹅/其他）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）; 猪排骨; 牛肉; 羊肉; 下水内脏; 鸡肉; 其他禽肉（鸭肉/鹅肉/其他）; 活禽（鸡）; 活禽（鸭/鹅/其他）,9,斤/月,元/斤,0,9
2024,畜禽肉,1787,0.0,0.0007352941176470588,638,,1360,18.705710260227463,9.051389292447405,3.836,11.811363636363637,14.0,16.666666666666668,21.666666666666664,27.310256410256414,33.33333333333333,48.820000000000164,142.85714285714286,0,,,,,,,,,,,,5,肉类,猪肉（不含排骨、腊肉）；猪排骨；牛肉；羊肉；下水内脏；鸡肉；其他禽肉（鸭肉/鹅肉/其他）；活禽（鸡）；活禽（鸭/鹅/其他）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）; 猪排骨; 牛肉; 羊肉; 下水内脏; 鸡肉; 其他禽肉（鸭肉/鹅肉/其他）; 活禽（鸡）; 活禽（鸭/鹅/其他）,9,斤/月,元/斤,0,9
pooled_2023_2024,糖,3547,0.0007037297677691766,0.0049261083743842365,160,,1421,4.884330364661855,2.8764218885499764,1.0,2.9999999999999996,4.0,4.6,5.0,7.0,10.0,15.0,49.148648648648646,0,,,,,,,,,,,,21,烟酒糖茶,白糖；红糖,糖,21,未纳入原六类,白糖; 红糖,2,斤/月,元/斤,0,2
2023,糖,1760,0.0013605442176870747,0.00816326530612245,106,,735,4.760294895543121,3.3559067560012323,0.7087999999999999,2.5,3.5,4.333333333333334,5.0,6.077419354838712,8.0,20.0,49.148648648648646,0,,,,,,,,,,,,21,烟酒糖茶,白糖；红糖,糖,21,未纳入原六类,白糖; 红糖,2,斤/月,元/斤,0,2
2024,糖,1787,0.0,0.0014577259475218659,99,,686,5.017225510146212,2.2471353646781007,1.45,3.0,4.0,5.0,5.0,7.5,10.0,13.156547619047608,20.0,0,,,,,,,,,,,,21,烟酒糖茶,白糖；红糖,糖,21,未纳入原六类,白糖; 红糖,2,斤/月,元/斤,0,2
pooled_2023_2024,肉制品,3547,0.0013192612137203166,0.00395778364116095,184,,758,17.50153935787592,15.351873688479316,1.5034337349397588,6.0,9.999999999999998,13.333333333333334,20.0,32.0,44.14999999999998,84.2999999999995,150.0,0,,,,,,,,,,,,7,肉制品,腊肉/熏肉/精肉火腿/香肠（不含淀粉火腿肠）；含淀粉的火腿肠；肉干/肉脯,肉制品,7,肉类及制品,腊肉/熏肉/精肉火腿/香肠（不包括含淀粉的火腿肠）; 含淀粉的火腿肠; 肉干/肉脯,3,斤/月,元/斤,0,3
2023,肉制品,1760,0.0,0.0021691973969631237,134,,461,17.026830216016993,16.37740085981843,1.9755102040816326,6.0,9.615384615384617,12.5,20.0,30.0,40.0,99.99999999999999,150.0,0,,,,,,,,,,,,7,肉制品,腊肉/熏肉/精肉火腿/香肠（不含淀粉火腿肠）；含淀粉的火腿肠；肉干/肉脯,肉制品,7,肉类及制品,腊肉/熏肉/精肉火腿/香肠（不包括含淀粉的火腿肠）; 含淀粉的火腿肠; 肉干/肉脯,3,斤/月,元/斤,0,3
2024,肉制品,1787,0.003367003367003367,0.006734006734006734,106,,297,18.238377453488603,13.601940476696237,1.3199999999999998,5.999999999999999,10.0,15.0,21.0,35.400000000000034,45.72533849129592,70.20000000000009,75.0,0,,,,,,,,,,,,7,肉制品,腊肉/熏肉/精肉火腿/香肠（不含淀粉火腿肠）；含淀粉的火腿肠；肉干/肉脯,肉制品,7,肉类及制品,腊肉/熏肉/精肉火腿/香肠（不包括含淀粉的火腿肠）; 含淀粉的火腿肠; 肉干/肉脯,3,斤/月,元/斤,0,3
pooled_2023_2024,茶,3547,0.002008032128514056,0.002008032128514056,110,,996,96.62047239701536,265.3924613491293,5.950000000000001,19.999999999999996,30.0,50.0,100.0,200.0,300.0,752.4999999999977,7500.0,0,,,,,,,,,,,,22,烟酒糖茶,茶,茶,22,未纳入原六类,茶,1,斤/月,元/斤,0,1
2023,茶,1760,0.0038684719535783366,0.0038684719535783366,84,,517,115.8920298850086,354.5874343102641,6.24,23.000000000000007,40.0,59.99999999999999,100.0,200.0,346.66666666666595,800.0,7500.0,0,,,,,,,,,,,,22,烟酒糖茶,茶,茶,22,未纳入原六类,茶,1,斤/月,元/斤,0,1
2024,茶,1787,0.0,0.0,72,,479,75.82006483690571,100.249684738249,5.78,15.0,25.0,40.0,95.0,150.0,267.99999999999955,505.49999999999926,800.0,0,,,,,,,,,,,,22,烟酒糖茶,茶,茶,22,未纳入原六类,茶,1,斤/月,元/斤,0,1
pooled_2023_2024,蔬菜制品,3547,0.0,0.0009000900090009,181,,1111,7.457822685081902,8.742943850616928,1.005,2.4999999999999996,3.5857142857142854,5.0,8.0,12.666666666666666,20.0,39.99999999999999,130.0,0,,,,,,,,,,,,14,蔬菜制品,咸菜（泡菜/榨菜/酸豆角等）；干菜（脱水蔬菜/金针菜/粉条/粉皮等）,蔬菜制品,14,蔬菜,咸菜（泡菜/榨菜/酸豆角等）; 干菜（脱水蔬菜/金针菜/粉条/粉皮等）,2,斤/月,元/斤,0,2
2023,蔬菜制品,1760,0.0,0.0014084507042253522,133,,710,5.825652071270018,4.695843086220042,1.0,2.0,3.2974878576384636,5.0,6.999999999999999,10.0,12.0,24.819999999999933,50.0,0,,,,,,,,,,,,14,蔬菜制品,咸菜（泡菜/榨菜/酸豆角等）；干菜（脱水蔬菜/金针菜/粉条/粉皮等）,蔬菜制品,14,蔬菜,咸菜（泡菜/榨菜/酸豆角等）; 干菜（脱水蔬菜/金针菜/粉条/粉皮等）,2,斤/月,元/斤,0,2
2024,蔬菜制品,1787,0.0,0.0,90,,401,10.347700829237606,12.646433327379855,1.5,2.5,4.999999999999999,7.0,11.666666666666666,20.0,29.999999999999996,50.0,130.0,0,,,,,,,,,,,,14,蔬菜制品,咸菜（泡菜/榨菜/酸豆角等）；干菜（脱水蔬菜/金针菜/粉条/粉皮等）,蔬菜制品,14,蔬菜,咸菜（泡菜/榨菜/酸豆角等）; 干菜（脱水蔬菜/金针菜/粉条/粉皮等）,2,斤/月,元/斤,0,2
pooled_2023_2024,蛋制品,3547,0.0,0.0,82,,328,12.21169510313337,6.339313415599855,1.7895714285714286,6.0,8.333333333333334,11.249999999999998,15.0,20.0,21.549999999999994,32.433333333333394,59.99999999999999,0,,,,,,,,,,,,10,蛋制品,咸蛋/松花蛋,蛋制品,10,未纳入原六类,咸蛋/松花蛋,1,斤/月,元/斤,0,1
2023,蛋制品,1760,0.0,0.0,41,,116,11.628015549999384,7.255725237990674,2.075,5.666666666666666,7.500000000000001,10.0,14.285714285714286,16.0,24.25,36.87499999999998,59.99999999999999,0,,,,,,,,,,,,10,蛋制品,咸蛋/松花蛋,蛋制品,10,未纳入原六类,咸蛋/松花蛋,1,斤/月,元/斤,0,1
2024,蛋制品,1787,0.0,0.0,64,,212,12.531066934093472,5.770382657647547,1.6204285714285713,6.0,9.0,12.0,15.0,20.0,21.15,29.633333333333287,40.0,0,,,,,,,,,,,,10,蛋制品,咸蛋/松花蛋,蛋制品,10,未纳入原六类,咸蛋/松花蛋,1,斤/月,元/斤,0,1
pooled_2023_2024,蛋类,3547,0.00045475216007276033,0.0018190086402910413,302,,2199,7.275032831519234,11.61520578258159,1.135858585858586,4.0,4.999999999999999,6.0,8.0,10.71688311688312,14.666666666666664,20.0,500.0,0,,,,,,,,,,,,9,蛋类,鸡蛋；鸭蛋/鹅蛋,蛋类,9,未纳入原六类,鸡蛋; 鸭蛋/鹅蛋,2,斤/月,元/斤,0,2
2023,蛋类,1760,0.0,0.0022935779816513763,204,,1308,5.943172420015016,3.3021875545565598,1.3814166666666667,4.0,4.5,5.142857142857143,6.666666666666666,8.0,10.0,19.916000000000075,50.0,0,,,,,,,,,,,,9,蛋类,鸡蛋；鸭蛋/鹅蛋,蛋类,9,未纳入原六类,鸡蛋; 鸭蛋/鹅蛋,2,斤/月,元/斤,0,2
2024,蛋类,1787,0.001122334455667789,0.001122334455667789,178,,891,9.230221853121385,17.62787622009323,1.0766666666666667,4.999999999999999,6.0,7.5,10.0,14.444444444444445,15.392857142857142,20.400000000000095,500.0,0,,,,,,,,,,,,9,蛋类,鸡蛋；鸭蛋/鹅蛋,蛋类,9,未纳入原六类,鸡蛋; 鸭蛋/鹅蛋,2,斤/月,元/斤,0,2
pooled_2023_2024,调料,3547,0.0011021307861866275,0.0036737692872887582,1722,,2722,4.712143787426605,3.5386515658769873,0.8019435339484919,1.600071942446043,2.350708366746859,3.8551769331585843,6.137539184952979,8.61578426521524,10.30258467023173,15.872058823529409,68.09583858764186,0,,,,,,,,,,,,18,调料,盐；味精/鸡精；酱油类（生抽/老抽/味极鲜/蚝油等）；醋,调料,18,未纳入原六类,盐; 味精/鸡精; 酱油类; 醋,4,斤/月,元/斤,0,4
2023,调料,1760,0.0014347202295552368,0.00430416068866571,1031,,1394,4.051815325305008,2.8722557292248334,0.6887032540067994,1.524046507003668,2.1162649557829027,3.3333333333333335,5.1607142857142865,7.331353135313532,8.828703703703695,15.575434782608665,28.333333333333336,0,,,,,,,,,,,,18,调料,盐；味精/鸡精；酱油类（生抽/老抽/味极鲜/蚝油等）；醋,调料,18,未纳入原六类,盐; 味精/鸡精; 酱油类; 醋,4,斤/月,元/斤,0,4
2024,调料,1787,0.0007530120481927711,0.0030120481927710845,950,,1328,5.405289778539184,4.009652618918822,1.0,1.756502286736926,2.6875,4.666666666666666,7.205555555555556,9.714285714285715,11.613636363636356,15.869117647058822,68.09583858764186,0,,,,,,,,,,,,18,调料,盐；味精/鸡精；酱油类（生抽/老抽/味极鲜/蚝油等）；醋,调料,18,未纳入原六类,盐; 味精/鸡精; 酱油类; 醋,4,斤/月,元/斤,0,4
pooled_2023_2024,豆制品,3547,0.0,0.002064409578860446,468,,2422,5.381559154101775,35.45068212484713,1.0,2.0,2.5,3.5,5.0,7.873931623931633,10.0,20.0,1666.6666666666665,0,,,,,,,,,,,,4,豆制品的获取与消费,豆浆；豆腐/豆腐皮/豆干；发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,豆浆; 豆腐/豆腐皮/豆干; 发酵豆制品（豆腐乳/豆酱/豆豉等）,3,斤/月,元/斤,0,3
2023,豆制品,1760,0.0,0.002307692307692308,283,,1300,4.044274150057781,3.4492335832354724,0.833125,2.0,2.5,3.183333333333333,4.5726392251815975,6.666666666666667,9.055020283975658,15.717142857142857,75.0,0,,,,,,,,,,,,4,豆制品的获取与消费,豆浆；豆腐/豆腐皮/豆干；发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,豆浆; 豆腐/豆腐皮/豆干; 发酵豆制品（豆腐乳/豆酱/豆豉等）,3,斤/月,元/斤,0,3
2024,豆制品,1787,0.0,0.0017825311942959,287,,1122,6.930998107093927,51.92220280323553,1.0,2.0,2.982142857142857,4.0,5.588888888888889,8.988888888888887,12.0,24.999999999999996,1666.6666666666665,0,,,,,,,,,,,,4,豆制品的获取与消费,豆浆；豆腐/豆腐皮/豆干；发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,豆浆; 豆腐/豆腐皮/豆干; 发酵豆制品（豆腐乳/豆酱/豆豉等）,3,斤/月,元/斤,0,3
pooled_2023_2024,豆类,3547,0.0,0.0028517110266159697,176,,1052,5.257892276006626,2.8638532603234848,1.1465454545454545,2.8000000000000003,3.5000000000000004,5.0,6.0,7.536,10.0,14.999999999999998,40.0,0,,,,,,,,,,,,3,豆类过去7天的消费,黄豆；绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,黄豆; 绿豆/红豆,2,斤/月,元/斤,0,2
2023,豆类,1760,0.0,0.005338078291814947,123,,562,4.9042129074048715,2.0187703083611344,1.0554545454545454,2.755,3.5,5.0,6.0,7.0,8.0,10.0,21.5,0,,,,,,,,,,,,3,豆类过去7天的消费,黄豆；绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,黄豆; 绿豆/红豆,2,斤/月,元/斤,0,2
2024,豆类,1787,0.0,0.0,91,,490,5.663540857953943,3.555775782138229,1.5,2.9999999999999996,4.0,5.0,6.000000000000001,8.340000000000002,11.943916913946582,20.0,40.0,0,,,,,,,,,,,,3,豆类过去7天的消费,黄豆；绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,黄豆; 绿豆/红豆,2,斤/月,元/斤,0,2
pooled_2023_2024,酒类,3547,0.006222222222222222,0.010666666666666666,372,,1125,13.033721183938148,34.07893269252754,0.4683333333333335,2.0833333333333335,3.3,6.0,10.263157894736842,24.550420168067234,40.0,100.0,800.0000000000001,0,,,,,,,,,,,,20,烟酒糖茶,白酒；啤酒；葡萄酒/果酒/米酒/黄酒,酒类,20,未纳入原六类,白酒; 啤酒; 葡萄酒/果酒; 米酒/黄酒,4,斤/月,元/斤,0,3
2023,酒类,1760,0.009487666034155597,0.018975332068311195,227,,527,13.865295141917228,42.55209811831241,0.12555555555555553,2.0,2.7282437539365945,4.333333333333333,10.000000000000002,25.70000000000003,50.69999999999999,125.91428571428585,800.0000000000001,0,,,,,,,,,,,,20,烟酒糖茶,白酒；啤酒；葡萄酒/果酒/米酒/黄酒,酒类,20,未纳入原六类,白酒; 啤酒; 葡萄酒/果酒; 米酒/黄酒,4,斤/月,元/斤,0,3
