period,item_code,village_years,outlet_village_pairs,reversed_endpoint_pairs,low_share_lt_0_1,low_share_lt_0_5,low_share_lt_1,low_n_unique_3dp,low_modal_value_share_3dp,community_low_n,community_low_mean,community_low_sd,community_low_p01,community_low_p10,community_low_p25,community_low_p50,community_low_p75,community_low_p90,community_low_p95,community_low_p99,community_low_max,community_high_n,community_high_mean,community_high_sd,community_high_p01,community_high_p10,community_high_p25,community_high_p50,community_high_p75,community_high_p90,community_high_p95,community_high_p99,community_high_max,community_mid_n,community_mid_mean,community_mid_sd,community_mid_p01,community_mid_p10,community_mid_p25,community_mid_p50,community_mid_p75,community_mid_p90,community_mid_p95,community_mid_p99,community_mid_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item
pooled_2023_2024,zhushi_2,173,239,4,0.0,0.0,0.015384615384615385,62,0.09743589743589744,195,3.949846153846154,2.6204123833251103,0.788,2.0,2.5,3.27,4.875,7.0,9.027,10.312600000000012,23.75,238,8.12022268907563,6.625413359987938,1.3472,2.5,3.6,5.775,10.8625,17.150000000000006,22.25,25.05999999999999,49.983,194,6.419556701030929,4.0143655015690864,0.9581,2.9,3.6012500000000003,5.12875,9.1375,11.605000000000002,13.586,19.63474999999997,26.488999999999997,9,主食加工品的获取与消费,面食（馒头/面条/面包/饼/玉米饼）,主食加工品,2,主食,面食（馒头/面条/面包/饼/玉米饼）,1,斤/月,元/斤,1
2023,zhushi_2_2,37,37,0,0.0,0.0,0.0,11,0.2222222222222222,27,5.381851851851853,2.4409740127773034,2.5,2.8,3.955,5.0,6.0,8.16000000000001,11.25,11.25,11.25,37,13.537567567567567,13.970266323200182,2.58,4.8,6.0,7.0,14.88,22.0,56.35,56.35,56.35,27,10.674074074074074,8.923614957929264,3.5,4.1,5.390000000000001,8.54,11.3125,21.950000000000042,33.8,33.8,33.8,10,主食加工品的获取与消费,带馅的面食（包子/饺子）,主食加工品,2,主食,带馅的面食（包子/饺子）,1,斤/月,元/斤,1
2024,zhushi_2_2,44,44,0,0.0,0.0,0.0,21,0.15,40,6.884275,2.500654919216164,4.2780000000000005,4.49,5.0,6.1,7.60175,9.856,10.114999999999993,15.166999999999998,17.0,44,25.37397727272727,20.92204227824078,4.4,5.83,7.5,18.325,37.25,64.267,70.77550000000001,71.5,71.5,40,16.760949999999998,10.907806754327085,4.4,4.99,7.3875,13.940000000000001,22.797,35.12655,38.8,38.8,38.8,10,主食加工品的获取与消费,带馅的面食（包子/饺子）,主食加工品,2,主食,带馅的面食（包子/饺子）,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_2_2,81,81,0,0.0,0.0,0.0,30,0.1791044776119403,67,6.2788208955223865,2.567810244602205,2.5,3.956,5.0,5.9,7.15,9.904,11.25,13.898000000000017,17.0,81,19.967222222222222,18.928939138921653,3.8200000000000003,5.0,6.8,12.4,22.0,56.35,64.267,71.5,71.5,67,14.308029850746271,10.522600500567812,3.5,4.5,5.95,11.45,18.625,33.8,36.45884999999999,38.8,38.8,10,主食加工品的获取与消费,带馅的面食（包子/饺子）,主食加工品,2,主食,带馅的面食（包子/饺子）,1,斤/月,元/斤,1
2023,zhushi_8,57,68,0,0.0,0.0,0.0,40,0.06153846153846154,65,8.060663846153846,3.9688972341341606,1.0,2.2,5.0,8.68,11.5,12.5,13.587,14.0976,15.0,66,17.771854545454545,9.192564826209056,2.6955,6.75,13.1875,16.0,22.65,30.0,34.056250000000006,42.80199999999988,56.92,63,13.323932936507937,5.442100182388943,3.405,5.603000000000001,10.381,13.83695,16.326875,20.879025000000006,21.23,25.639000000000028,32.8,11,主食加工品的获取与消费,其他主食加工品（方便面等）,主食加工品,2,主食,其他主食加工品（方便面等）,1,斤/月,元/斤,1
2024,zhushi_8,133,173,1,0.0,0.0,0.0,76,0.09333333333333334,150,11.6733,5.974799340653527,2.0,3.5,8.99475,10.87,15.0,19.455299999999998,22.72385,28.610319999999984,29.41,173,22.486,11.393950499135238,4.9972,5.5,15.3,22.12,30.0,33.43600000000001,43.688,51.86,70.714,150,17.988776666666666,6.735436727016781,3.8185000000000002,7.225,14.45125,18.2775,22.445,26.15,29.3685,30.995199999999997,40.092,11,主食加工品的获取与消费,其他主食加工品（方便面等）,主食加工品,2,主食,其他主食加工品（方便面等）,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_8,190,241,1,0.0,0.0,0.0,106,0.08372093023255814,215,10.581107674418604,5.686114898888672,1.0350000000000001,2.8,6.9,10.0,13.59,18.514,22.72,27.389079999999957,29.41,239,21.18418577405858,11.016375244010874,4.3762,5.5,14.379999999999999,20.49,28.5,33.02,43.3,51.86,70.714,213,16.60903415492958,6.71565782715741,3.5,7.0,12.649999999999999,16.175,21.5,25.008,28.240799999999975,31.187599999999996,40.092,11,主食加工品的获取与消费,其他主食加工品（方便面等）,主食加工品,2,主食,其他主食加工品（方便面等）,1,斤/月,元/斤,1
2023,doulei_1,94,107,0,0.0,0.0,0.0,18,0.24242424242424243,33,4.465151515151515,1.377121366320252,2.128,2.5,3.5,4.5,5.0,5.98,7.0,7.0,7.0,107,4.94803738317757,1.6382799535294583,2.836,3.8,4.0,4.5,4.995,7.0,7.4,9.939999999999998,14.9,33,4.8121212121212125,1.7236820283475967,2.56,3.15,3.5,4.5,5.0,7.580000000000002,8.0,9.665999999999999,10.45,12,豆类过去7天的消费,黄豆,豆类,3,豆类及制品,黄豆,1,斤/月,元/斤,1
2024,doulei_1,83,100,0,0.0,0.0,0.0,30,0.136986301369863,73,5.113972602739726,2.0627270849573733,1.72,3.2600000000000002,3.99,4.5,5.99,8.0,9.99,10.350000000000001,11.25,100,6.3812000000000015,4.172968151318578,2.495,3.0,3.9425,4.79,8.0,12.5,15.111999999999993,19.81450000000001,21.25,73,5.702602739726028,2.869535974342881,2.0,3.2600000000000002,3.99,4.78,6.5,10.0,12.07,12.734400000000003,13.350000000000001,12,豆类过去7天的消费,黄豆,豆类,3,豆类及制品,黄豆,1,斤/月,元/斤,1
pooled_2023_2024,doulei_1,177,207,0,0.0,0.0,0.0,38,0.12264150943396226,106,4.911981132075472,1.8938563176813499,2.0,3.0,3.99,4.5,5.725,7.0,9.4925,10.0,11.25,207,5.640386473429952,3.203928996554351,2.5,3.5,3.99,4.58,6.0,9.99,12.5,17.24,21.25,106,5.425377358490565,2.5929587299631294,2.02,3.15,3.99,4.5,5.9,9.86875,11.865,12.494750000000002,13.350000000000001,12,豆类过去7天的消费,黄豆,豆类,3,豆类及制品,黄豆,1,斤/月,元/斤,1
2023,doulei_4,106,131,2,0.0,0.0,0.0,35,0.14678899082568808,109,5.875321100917431,1.5226643126121007,1.8,4.3,4.98,5.9,6.9,7.116000000000001,8.359999999999996,10.0,10.0,131,7.92412213740458,2.4085351022590182,4.5,5.5,6.25,7.5,9.0,10.0,12.45,13.8,22.0,109,7.077155963302753,1.6996770345411265,3.65,5.192,6.15,7.0,7.73,9.0,9.95,11.5,15.0,13,豆类过去7天的消费,绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,绿豆/红豆,1,斤/月,元/斤,1
2024,doulei_4,87,113,2,0.0,0.0,0.0,30,0.14893617021276595,94,6.31936170212766,2.377221907352587,3.98,4.510000000000001,4.99125,5.98,6.0,9.99,11.9,14.9907,15.0,113,10.28733628318584,6.291625500574185,4.0708,5.596000000000001,6.0,8.9,10.0,20.87999999999999,27.5282,31.19543999999999,31.395,94,8.437122340425532,3.929808662943401,4.5445,5.319,6.0,7.07,8.6,14.550000000000004,18.476749999999996,20.025769999999984,22.361,13,豆类过去7天的消费,绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,绿豆/红豆,1,斤/月,元/斤,1
pooled_2023_2024,doulei_4,193,244,4,0.0,0.0,0.0,53,0.11330049261083744,203,6.080935960591132,1.9724722791254268,1.8238,4.318,4.99,5.98,6.8,8.0,10.0,13.957999999999979,15.0,244,9.018561475409838,4.768907708567103,4.215,5.5,6.0,7.98,9.9,13.0,21.122499999999974,28.901239999999987,31.395,203,7.706894088669951,3.0193987746341016,3.65,5.242,6.0225,7.0,7.995,10.306000000000004,14.849999999999966,19.85,22.361,13,豆类过去7天的消费,绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,绿豆/红豆,1,斤/月,元/斤,1
2023,doulei_2,6,6,0,0.0,0.0,0.0,1,1.0,4,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,9.799999999999999,3.555277766926235,4.109999999999999,6.9,10.0,10.0,10.0,12.5,13.75,14.75,15.0,4,8.625,1.25,8.0,8.0,8.0,8.0,8.625,9.75,10.125,10.424999999999999,10.5,14,豆制品的获取与消费,豆浆,豆制品,4,豆类及制品,豆浆,1,斤/月,元/斤,1
2024,doulei_2,16,16,0,0.0,0.0,0.0,8,0.21428571428571427,14,11.648142857142858,10.473351163472302,2.13,3.3,4.720000000000001,5.682,13.0,29.75,29.75,29.75,29.75,16,23.9793125,14.778585465547776,2.5523,5.682,8.95625,27.1,33.69499999999999,42.6,42.6,42.6,42.6,14,18.180107142857143,11.379196568533722,2.421525,5.37435,6.0115,17.575,27.8,31.455,31.455,31.455,31.455,14,豆制品的获取与消费,豆浆,豆制品,4,豆类及制品,豆浆,1,斤/月,元/斤,1
