period,item_code,households,purchase_uv_share_lt_0_1,purchase_uv_share_lt_0_5,purchase_uv_n_unique_3dp,own_price_share_lt_0_1,purchase_uv_n,purchase_uv_mean,purchase_uv_sd,purchase_uv_p01,purchase_uv_p10,purchase_uv_p25,purchase_uv_p50,purchase_uv_p75,purchase_uv_p90,purchase_uv_p95,purchase_uv_p99,purchase_uv_max,own_price_n,own_price_mean,own_price_sd,own_price_p01,own_price_p10,own_price_p25,own_price_p50,own_price_p75,own_price_p90,own_price_p95,own_price_p99,own_price_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item
2024,zhushi_5,1803,0.0,0.0,55,0.0,143,10.31895711145894,13.943262897466825,1.71,3.0250000000000004,4.5,6.0,10.0,19.857142857142854,28.420000000000023,83.2000000000005,108.0,8,3.75,2.712405363721075,2.0,2.0,2.0,3.0,3.5,6.499999999999999,8.249999999999996,9.649999999999999,10.0,5,主食部分,其他杂粮（小米/薏米/燕麦等）,主食原粮/薯类,1,主食,其他杂粮（小米/薏米/燕麦等）,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_5,3565,0.0,0.0045045045045045045,125,0.0,888,5.842351644468663,6.179871175879426,1.0,3.0,4.0,5.0,6.0,8.0,10.0,25.0,108.0,72,5.491666666666666,3.5181120897515954,2.0,2.2300000000000004,4.0,5.0,6.0,6.899999999999999,10.0,17.220000000000113,30.0,5,主食部分,其他杂粮（小米/薏米/燕麦等）,主食原粮/薯类,1,主食,其他杂粮（小米/薏米/燕麦等）,1,斤/月,元/斤,1
2023,zhushi_6,1762,0.0028328611898017,0.015580736543909348,79,0.0,706,1.8845122830873597,0.9872452184696878,0.22874999999999998,1.0,1.5,1.94,2.0,2.5,3.0,5.0,15.0,499,1.995871743486974,4.553084151732119,0.4,0.8,1.0,1.3,2.0,2.0,3.0,22.059999999999945,60.0,6,主食部分,土豆,主食原粮/薯类,1,主食,土豆,1,斤/月,元/斤,1
2024,zhushi_6,1803,0.0029282576866764276,0.008784773060029283,56,0.0,683,2.1336634291363428,1.2626843793377276,0.6366666666666667,1.0,1.5,2.0,2.5,3.0,4.0,5.17999999999995,16.0,408,1.592843137254902,0.9416404499618652,0.614,1.0,1.0,1.5,2.0,2.0,2.8249999999999886,3.930000000000007,12.0,6,主食部分,土豆,主食原粮/薯类,1,主食,土豆,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_6,3565,0.0028797696184305254,0.012239020878329733,97,0.0,1389,2.007025049647083,1.1375317486836456,0.3333333333333333,1.0,1.5,2.0,2.3333333333333335,3.0,3.5,5.071999999999934,16.0,907,1.8145755237045207,3.4399883065501218,0.5,0.9,1.0,1.5,2.0,2.0,3.0,11.879999999999882,60.0,6,主食部分,土豆,主食原粮/薯类,1,主食,土豆,1,斤/月,元/斤,1
2023,zhushi_7,1762,0.0,0.04081632653061224,37,0.0,98,2.7248101218509384,2.342507976766648,0.398,1.2,1.675,2.25,3.0,4.0,5.362499999999994,10.300000000000011,20.0,36,3.7222222222222223,5.99161848447413,0.87,1.0,1.5,2.0,3.0,6.5,9.75,27.99999999999997,35.0,7,主食部分,红薯,主食原粮/薯类,1,主食,红薯,1,斤/月,元/斤,1
2024,zhushi_7,1803,0.0,0.011695906432748537,35,0.0,171,2.6458695885011676,1.8085709819784566,0.47,1.4,2.0,2.0,3.0,4.0,5.583333333333334,8.150000000000006,16.666666666666668,79,2.2208860759493674,2.0566279283265763,0.256,1.0,1.2,2.0,2.7,3.5,4.0,11.319999999999993,16.0,7,主食部分,红薯,主食原粮/薯类,1,主食,红薯,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_7,3565,0.0,0.022304832713754646,56,0.0,269,2.674628593215954,2.0155352550756476,0.4,1.2,1.8461538461538463,2.0,3.0,4.0,5.6,8.97999999999999,20.0,115,2.6908695652173917,3.7953606409823863,0.307,1.0,1.2,2.0,2.95,4.0,6.299999999999997,15.86,35.0,7,主食部分,红薯,主食原粮/薯类,1,主食,红薯,1,斤/月,元/斤,1
2023,zhushi_1_1,1762,0.0,0.0,60,0.0,171,12.745772891825522,15.540504036716408,1.14,2.6666666666666665,4.0,7.5,15.0,29.999999999999996,40.0,82.50000000000028,100.0,9,8.633333333333333,5.491812087098392,2.3440000000000003,3.64,5.0,6.5,12.0,13.600000000000001,16.799999999999997,19.36,20.0,8,主食加工品的获取与消费,米线/米粉,主食加工品,2,主食,米线/米粉,1,斤/月,元/斤,1
2024,zhushi_1_1,1803,0.0,0.0015105740181268882,90,0.0,662,6.4993077747649695,9.936693759512547,1.0,2.0,2.5,3.55,5.3,10.0,22.37499999999983,60.0,100.0,4,5.125,3.473110997362451,2.045,2.45,3.125,4.25,6.25,8.5,9.249999999999998,9.849999999999998,10.0,8,主食加工品的获取与消费,米线/米粉,主食加工品,2,主食,米线/米粉,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_1_1,3565,0.0,0.0012004801920768306,108,0.0,833,7.781595331808613,11.582918034670103,1.0,2.0,2.8000000000000003,4.0,6.666666666666667,16.53333333333338,30.0,60.0,100.0,13,7.553846153846154,5.095359880096038,2.024,2.4600000000000004,4.0,6.0,10.0,12.0,15.199999999999989,19.039999999999992,20.0,8,主食加工品的获取与消费,米线/米粉,主食加工品,2,主食,米线/米粉,1,斤/月,元/斤,1
2023,zhushi_2,1762,0.004103967168262654,0.01094391244870041,175,0.0,731,4.086952660948259,4.336671768052838,0.3833333333333333,1.6666666666666667,2.0,2.9,5.0,7.428571428571429,10.0,20.0,50.0,446,4.66640134529148,6.9030564390245095,0.6,1.9,2.0,3.0,5.0,6.675,11.9,37.75000000000006,70.0,9,主食加工品的获取与消费,面食（馒头/面条/面包/饼/玉米饼）,主食加工品,2,主食,面食（馒头/面条/面包/饼/玉米饼）,1,斤/月,元/斤,1
2024,zhushi_2,1803,0.0007530120481927711,0.0037650602409638554,264,0.0,1328,5.42579925605893,5.960767188763249,1.0,2.0,3.0,4.0,6.0,10.0,12.5,28.920000000000073,104.16666666666667,97,5.866670103092783,5.6585586480452505,0.488,1.012,2.0,4.0,9.0,12.0,20.0,20.39999999999992,30.0,9,主食加工品的获取与消费,面食（馒头/面条/面包/饼/玉米饼）,主食加工品,2,主食,面食（馒头/面条/面包/饼/玉米饼）,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_2,3565,0.001942690626517727,0.006313744536182613,357,0.0,2059,4.950472951529594,5.4764861318607085,1.0,2.0,2.5,3.5,5.0,10.0,12.0,25.0,104.16666666666667,543,4.880813996316759,6.708733988141233,0.6,1.7200000000000002,2.0,3.0,5.0,10.0,13.0,32.900000000000205,70.0,9,主食加工品的获取与消费,面食（馒头/面条/面包/饼/玉米饼）,主食加工品,2,主食,面食（馒头/面条/面包/饼/玉米饼）,1,斤/月,元/斤,1
2023,zhushi_2_2,1762,0.0,0.015151515151515152,64,0.0,198,8.312118478687792,7.305992634388657,0.3955,2.0,3.375,6.0,10.0,15.0,23.11538461538461,37.575,40.0,387,11.528914728682173,10.812701553326578,1.5,3.0,5.0,10.0,15.0,20.0,30.0,50.0,135.0,10,主食加工品的获取与消费,带馅的面食（包子/饺子）,主食加工品,2,主食,带馅的面食（包子/饺子）,1,斤/月,元/斤,1
2024,zhushi_2_2,1803,0.0,0.0048543689320388345,86,0.0,412,11.100657472042437,10.56599050143321,1.5,3.0,5.0,8.333333333333334,14.125,20.0,25.0,50.0,100.0,110,9.539090909090909,8.507191727742896,0.5,1.5,4.0,8.0,10.0,20.0,25.0,41.45999999999998,45.0,10,主食加工品的获取与消费,带馅的面食（包子/饺子）,主食加工品,2,主食,带馅的面食（包子/饺子）,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_2_2,3565,0.0,0.00819672131147541,113,0.0,610,10.195525143051913,9.711720238728462,1.0,2.5,5.0,7.65625,12.5,20.0,25.0,48.03333333333323,100.0,497,11.08851106639839,10.371790476960184,1.0,2.5,5.0,10.0,15.0,20.0,30.0,45.2000000000001,135.0,10,主食加工品的获取与消费,带馅的面食（包子/饺子）,主食加工品,2,主食,带馅的面食（包子/饺子）,1,斤/月,元/斤,1
2023,zhushi_8,1762,0.009259259259259259,0.011574074074074073,123,0.0,432,11.11667310317505,15.527503412486958,0.34180000000000044,4.0,6.25,10.0,12.5,16.666666666666668,22.5,36.89999999999998,300.0,11,5.454545454545454,1.8090680674665818,3.1,4.0,5.0,5.0,5.5,7.0,8.5,9.700000000000001,10.0,11,主食加工品的获取与消费,其他主食加工品（方便面等）,主食加工品,2,主食,其他主食加工品（方便面等）,1,斤/月,元/斤,1
2024,zhushi_8,1803,0.0,0.005208333333333333,121,0.0,384,12.500600986188699,8.292600415775249,1.4615757575757575,4.050000000000001,6.916666666666667,10.181781045751634,15.15625,22.659090909090907,25.0,50.0,51.63636363636363,6,5.033333333333333,2.684523545560118,0.44,2.6,5.0,5.0,6.5,7.5,7.75,7.95,8.0,11,主食加工品的获取与消费,其他主食加工品（方便面等）,主食加工品,2,主食,其他主食加工品（方便面等）,1,斤/月,元/斤,1
pooled_2023_2024,zhushi_8,3565,0.004901960784313725,0.00857843137254902,196,0.0,816,11.767933283416765,12.66087909071261,1.0725,4.0,6.25,10.0,14.6875,20.0,25.0,49.250000000000114,300.0,17,5.305882352941176,2.083407841804892,0.6479999999999999,3.6,5.0,5.0,6.0,7.4,8.399999999999999,9.68,10.0,11,主食加工品的获取与消费,其他主食加工品（方便面等）,主食加工品,2,主食,其他主食加工品（方便面等）,1,斤/月,元/斤,1
2023,doulei_1,1762,0.0,0.006097560975609756,34,0.0,164,3.8433093270071046,1.5593348184082687,1.126,2.23,3.0,3.5,4.85,6.0,6.641666666666666,10.0,10.0,82,3.86439024390244,2.03701069868823,1.6480000000000001,2.23,3.0,3.15,4.0,5.900000000000006,9.875000000000007,10.379999999999995,12.0,12,豆类过去7天的消费,黄豆,豆类,3,豆类及制品,黄豆,1,斤/月,元/斤,1
2024,doulei_1,1803,0.0,0.005128205128205128,41,0.0,195,5.4178998778998775,4.586940960076435,0.594,2.0,3.0,4.5,6.0,10.0,12.149999999999991,25.30000000000001,40.0,142,3.8285915492957754,1.7086005187562237,1.0,2.0,3.0,3.5,5.0,5.950000000000003,7.0,9.590000000000003,10.0,12,豆类过去7天的消费,黄豆,豆类,3,豆类及制品,黄豆,1,斤/月,元/斤,1
pooled_2023_2024,doulei_1,3565,0.0,0.005571030640668524,57,0.0,359,4.6985883170463545,3.6229270816823247,0.6386666666666666,2.0,3.0,4.0,5.0,7.099999999999994,10.0,20.0,40.0,224,3.8416964285714283,1.8312099400808375,1.0,2.0,3.0,3.5,5.0,6.0,7.924999999999997,10.0,12.0,12,豆类过去7天的消费,黄豆,豆类,3,豆类及制品,黄豆,1,斤/月,元/斤,1
2023,doulei_4,1762,0.0,0.004048582995951417,79,0.0,494,5.206285518676379,2.0456557809839766,1.061212121212121,3.0,4.0,5.0,6.0,7.0,8.0,10.139999999999986,21.5,75,5.0633333333333335,1.912977256002272,1.896,3.0,3.625,5.0,6.0,7.300000000000004,8.949999999999996,10.0,10.0,13,豆类过去7天的消费,绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,绿豆/红豆,1,斤/月,元/斤,1
2024,doulei_4,1803,0.0,0.0,49,0.0,367,5.864627395008866,2.964147209833179,2.0,3.0,4.0,5.5,6.666666666666667,8.0,10.466666666666658,16.794285714285593,30.0,74,4.6121621621621625,5.567615576368389,0.757,2.0,2.0,4.0,5.0,6.850000000000001,9.349999999999994,20.25999999999985,48.0,13,豆类过去7天的消费,绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,绿豆/红豆,1,斤/月,元/斤,1
pooled_2023_2024,doulei_4,3565,0.0,0.0023228803716608595,102,0.0,861,5.4869027876822125,2.498851170614056,1.46,3.0,4.0,5.0,6.0,8.0,10.0,14.199999999999989,30.0,149,4.839261744966443,4.143753699433306,1.24,2.0,3.0,4.3,6.0,7.1000000000000085,9.599999999999994,10.0,48.0,13,豆类过去7天的消费,绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,绿豆/红豆,1,斤/月,元/斤,1
2023,doulei_2,1762,0.0,0.023529411764705882,43,0.0,170,4.081511556494256,3.930330406779919,0.3333333333333333,0.9666666666666673,1.8125,3.0,5.0,8.033333333333331,13.699999999999989,17.219333333333342,25.0,120,4.2525,3.756830473961266,0.5,1.0,2.0,3.0,5.0,8.0,10.0,18.860000000000014,28.0,14,豆制品的获取与消费,豆浆,豆制品,4,豆类及制品,豆浆,1,斤/月,元/斤,1
2024,doulei_2,1803,0.0,0.0,51,0.0,266,7.942896042336217,31.197193570432017,0.95,2.0,2.5,4.0,6.300000000000001,11.0,19.166666666666668,35.66666666666682,500.0,77,4.351948051948052,2.481702004546709,0.88,2.0,2.5,4.0,5.0,8.400000000000006,10.0,10.0,10.0,14,豆制品的获取与消费,豆浆,豆制品,4,豆类及制品,豆浆,1,斤/月,元/斤,1
pooled_2023_2024,doulei_2,3565,0.0,0.009174311926605505,69,0.0,436,6.43731034831527,24.545161360980746,0.5,1.396103896103896,2.0,4.0,6.0,10.0,15.0,30.0,500.0,197,4.291370558375634,3.3105238271223927,0.5,2.0,2.0,3.5,5.0,8.0,10.0,14.239999999999952,28.0,14,豆制品的获取与消费,豆浆,豆制品,4,豆类及制品,豆浆,1,斤/月,元/斤,1
2023,doulei_3,1762,0.0,0.0024691358024691358,140,0.0,1215,3.739953118342622,3.0844427810545008,1.0,2.0,2.5,3.0,4.0,6.0,7.649999999999977,12.0,75.0,38,3.055263157894737,1.315951483624918,1.311,2.0,2.125,3.0,3.5,3.650000000000002,5.0,7.52000000000001,9.0,15,豆制品的获取与消费,豆腐/豆腐皮/豆干,豆制品,4,豆类及制品,豆腐/豆腐皮/豆干,1,斤/月,元/斤,1
2024,doulei_3,1803,0.0,0.001976284584980237,145,0.0,1012,4.536360441294842,3.8936143903009004,1.0,2.0,2.5,3.6,5.0,7.77142857142857,10.0,20.0,60.0,49,3.53469387755102,1.4505101143517527,1.5,2.0,3.0,3.0,4.0,5.0,5.599999999999994,8.079999999999984,10.0,15,豆制品的获取与消费,豆腐/豆腐皮/豆干,豆制品,4,豆类及制品,豆腐/豆腐皮/豆干,1,斤/月,元/斤,1
pooled_2023_2024,doulei_3,3565,0.0,0.00224517287831163,216,0.0,2227,4.101858915750636,3.497330904237556,1.0,2.0,2.5,3.0434782608695654,5.0,6.666666666666667,9.0,18.000000000000004,75.0,87,3.325287356321839,1.4059027051920006,1.458,2.0,2.5,3.0,4.0,5.0,5.0,9.14,10.0,15,豆制品的获取与消费,豆腐/豆腐皮/豆干,豆制品,4,豆类及制品,豆腐/豆腐皮/豆干,1,斤/月,元/斤,1
2023,xiancai_4,1762,0.0,0.0,65,0.0,265,8.950180187294125,8.317059327646572,1.4100000000000001,2.5,4.0,6.0,10.0,18.0,24.0,43.600000000000136,60.0,62,8.128387096774194,7.929870731286402,2.0,3.0,4.125,6.0,10.0,12.0,19.599999999999966,35.60000000000002,60.0,16,豆制品的获取与消费,发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,发酵豆制品（豆腐乳/豆酱/豆豉等）,1,斤/月,元/斤,1
2024,xiancai_4,1803,0.0,0.0,69,0.0,225,18.583361508929496,110.8659438012281,1.06,3.3600000000000003,5.0,10.0,13.0,20.0,30.0,50.0,1666.6666666666667,65,10.009538461538462,8.86487740164261,0.948,2.4360000000000004,5.0,8.0,10.0,19.200000000000003,34.79999999999998,40.0,40.0,16,豆制品的获取与消费,发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,发酵豆制品（豆腐乳/豆酱/豆豉等）,1,斤/月,元/斤,1
pooled_2023_2024,xiancai_4,3565,0.0,0.0,96,0.0,490,13.373579773759346,75.43731400307887,1.2225,2.786666666666667,5.0,7.5,12.0,20.0,28.55357142857128,50.0,1666.6666666666667,127,9.091181102362205,8.441043493584926,1.408,2.8000000000000007,5.0,8.0,10.0,16.144000000000016,20.0,40.0,60.0,16,豆制品的获取与消费,发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,发酵豆制品（豆腐乳/豆酱/豆豉等）,1,斤/月,元/斤,1
2023,roulei_1,1762,0.0,0.0,128,0.0,1294,11.40515994747581,4.264872188926823,2.0,9.0,10.0,10.563157894736843,12.0,15.0,16.666666666666668,25.0,70.0,81,13.777407407407408,21.303517184832288,7.0,8.0,9.5,10.0,12.5,16.0,20.0,64.00000000000048,200.0,17,肉类,猪肉（不含排骨、腊肉）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）,1,斤/月,元/斤,1
2024,roulei_1,1803,0.0,0.0016806722689075631,119,0.0,1190,14.866362189181999,5.225530518923687,2.9450000000000003,11.0,12.892857142857142,15.0,16.0,20.0,20.0,28.2199999999998,113.0,222,14.77864864864865,4.234432438366287,10.0,11.424000000000001,12.0,14.0,15.0,20.0,25.0,30.0,30.0,17,肉类,猪肉（不含排骨、腊肉）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）,1,斤/月,元/斤,1
pooled_2023_2024,roulei_1,3565,0.0,0.0008051529790660225,190,0.0,2484,13.063304338631351,5.0535623397503375,2.2415000000000003,9.0,10.0,12.0,15.0,18.0,20.0,26.0,113.0,303,14.5109900990099,11.555982926629994,7.51,10.0,12.0,13.0,15.0,20.0,25.0,30.0,200.0,17,肉类,猪肉（不含排骨、腊肉）,畜禽肉,5,肉类及制品,猪肉（不含排骨、腊肉）,1,斤/月,元/斤,1
2023,roulei_2,1762,0.002012072434607646,0.004024144869215292,68,0.0,497,14.781631165384349,5.158414764490506,3.24,10.0,12.0,15.0,16.666666666666668,20.0,20.0,30.0,70.0,33,17.59090909090909,7.448211347211307,8.44,12.2,14.0,15.5,18.0,25.200000000000003,28.799999999999997,43.599999999999994,50.0,18,肉类,猪排骨,畜禽肉,5,肉类及制品,猪排骨,1,斤/月,元/斤,1
2024,roulei_2,1803,0.0,0.0,89,0.0,683,21.510925252584904,6.701140991823022,7.435714285714286,15.0,17.0,20.0,25.0,30.0,32.0,40.7199999999998,56.0,102,19.166666666666668,5.0621549305858,11.01,14.0,15.25,18.0,20.0,25.0,30.0,34.949999999999974,40.0,18,肉类,猪排骨,畜禽肉,5,肉类及制品,猪排骨,1,斤/月,元/斤,1
pooled_2023_2024,roulei_2,3565,0.000847457627118644,0.001694915254237288,128,0.0,1180,18.67663782772162,6.94399523786142,4.790000000000001,12.0,14.0,17.5,22.5,28.0,30.0,38.42000000000007,70.0,135,18.78148148148148,5.74670814512548,10.34,13.0,15.0,18.0,20.0,25.0,30.0,38.29999999999998,50.0,18,肉类,猪排骨,畜禽肉,5,肉类及制品,猪排骨,1,斤/月,元/斤,1
2023,roulei_3,1762,0.0,0.0,52,0.0,201,43.75992186365321,19.154139631259174,10.0,25.0,30.0,40.0,50.0,75.0,80.0,100.0,100.0,7,47.142857142857146,41.43440024676988,4.62,19.200000000000003,31.0,40.0,45.0,84.00000000000003,109.49999999999994,129.89999999999995,135.0,19,肉类,牛肉,畜禽肉,5,肉类及制品,牛肉,1,斤/月,元/斤,1
2024,roulei_3,1803,0.0,0.0,68,0.0,372,40.19486825865108,16.274792917442642,3.0,26.666666666666668,30.0,40.0,45.0,55.0,65.0,100.0,142.85714285714286,6,34.5,8.803408430829505,27.15,28.5,30.0,30.0,37.5,45.0,47.5,49.5,50.0,19,肉类,牛肉,畜禽肉,5,肉类及制品,牛肉,1,斤/月,元/斤,1
pooled_2023_2024,roulei_3,3565,0.0,0.0,91,0.0,573,41.44543680071988,17.406145581029488,3.36,25.0,30.0,40.0,50.0,60.0,80.0,100.0,142.85714285714286,13,41.30769230769231,30.557008512463543,5.88,27.6,30.0,32.0,40.0,50.0,83.99999999999989,124.79999999999991,135.0,19,肉类,牛肉,畜禽肉,5,肉类及制品,牛肉,1,斤/月,元/斤,1
2023,roulei_4,1762,0.0,0.0,54,0.0,144,44.4780461220935,24.43038194057975,5.946,23.53333333333333,30.0,38.29824561403508,50.0,80.0,100.0,115.0,150.0,15,70.46666666666667,96.73591936420563,5.380000000000001,22.8,30.0,35.0,51.5,149.99999999999997,241.1999999999998,355.4399999999999,384.0,20,肉类,羊肉,畜禽肉,5,肉类及制品,羊肉,1,斤/月,元/斤,1
2024,roulei_4,1803,0.0,0.0,30,0.0,59,45.14747963900507,23.283109834371214,8.124444444444444,20.0,30.0,40.0,50.0,76.00000000000001,100.0,108.40000000000003,120.0,8,42.875,33.12503369270524,18.0,18.0,23.25,35.0,44.0,70.99999999999999,95.49999999999997,115.09999999999998,120.0,20,肉类,羊肉,畜禽肉,5,肉类及制品,羊肉,1,斤/月,元/斤,1
pooled_2023_2024,roulei_4,3565,0.0,0.0,67,0.0,203,44.67261054326484,24.04712481964892,5.0440000000000005,22.6,30.0,40.0,50.0,80.0,100.0,115.0,150.0,23,60.869565217391305,80.52741167838784,6.3,18.4,28.5,35.0,46.5,117.00000000000001,173.99999999999991,339.12000000000023,384.0,20,肉类,羊肉,畜禽肉,5,肉类及制品,羊肉,1,斤/月,元/斤,1
2023,roulei_9,1762,0.0,0.0,29,0.0,53,17.788634321653188,18.167369504749864,2.64,5.0,8.0,13.0,20.0,30.0,39.49999999999997,88.79999999999981,120.0,8,15.625,11.134726887406933,7.07,7.7,8.0,11.0,20.0,25.999999999999996,32.999999999999986,38.599999999999994,40.0,21,肉类,下水内脏,畜禽肉,5,肉类及制品,下水内脏,1,斤/月,元/斤,1
