year,module,item_code,module_prefix,rows,invalid_negative_rows,frequency_missing_with_positive_flow,purchase_direct_rows,purchase_residual_rows,purchase_typical_rows,positive_total_rows
2023,奶类,nailei_2,nailei,1762,0,1,307,8,156,495
2023,奶类,nailei_3,nailei,1762,0,0,177,3,38,262
2023,油脂类,youzhi_1,youzhi,1762,0,1,418,6,141,683
2023,油脂类,youzhi_2,youzhi,1762,0,0,351,3,35,672
2023,油脂类,youzhi_3,youzhi,1762,0,0,139,5,60,342
2023,油脂类,youzhi_4,youzhi,1762,0,0,54,3,24,80
2023,油脂类,youzhi_5,youzhi,1762,0,0,156,3,32,307
2023,油脂类,youzhi_6,youzhi,1762,0,2,17,1,4,78
2023,_蔬菜,shucai_1,shucai,1762,0,5,315,7,91,1164
2023,_蔬菜,shucai_2,shucai,1762,0,7,791,21,59,1638
2023,_蔬菜,shucai_3,shucai,1762,0,1,255,12,401,712
2023,_蔬菜,shucai_4,shucai,1762,0,11,648,9,269,1165
2023,_蔬菜,shucai_5,shucai,1762,0,4,551,24,89,1601
2023,_蔬菜,shucai_6,shucai,1762,0,11,440,24,202,1465
2023,_蔬菜,shucai_7,shucai,1762,0,2,254,8,432,725
2023,_蔬菜,shucai_8,shucai,1762,0,5,952,42,80,1614
2023,_蔬菜,shucai_9,shucai,1762,0,6,29,3,21,105
2023,蔬菜制品,xiancai_1,xiancai,1762,0,6,195,10,112,746
2023,蔬菜制品,xiancai_2,xiancai,1762,0,8,582,10,439,1228
2023,水果干果,shuiguo_1,shuiguo,1762,0,3,1334,32,100,1581
2023,水果干果,shuiguo_2,shuiguo,1762,0,4,67,0,1026,1104
2023,水果干果,shuiguo_3,shuiguo,1762,0,5,345,10,457,947
2023,水果干果,shuiguo_7,shuiguo,1762,0,5,705,16,388,1372
2023,水果干果,shuiguo_6,shuiguo,1762,0,4,301,11,737,1122
2023,水果制品,shuiguo_4,shuiguozhipin,1762,0,1,110,4,203,362
2023,水果制品,shuiguo_5,shuiguozhipin,1762,0,0,78,2,113,208
2023,调料,tiaoliao_1,tiaoliao,1762,0,0,1235,26,371,1720
2023,调料,tiaoliao_2,tiaoliao,1762,0,0,991,24,369,1366
2023,调料,tiaoliao_3,tiaoliao,1762,0,1,1227,21,398,1657
2023,调料,tiaoliao_4,tiaoliao,1762,0,1,1156,24,407,1613
2023,烟酒糖茶,yanjiu_1,yanjiu,1762,0,0,745,43,22,812
2023,烟酒糖茶,yanjiu_2,yanjiu,1762,0,1,267,12,150,503
2023,烟酒糖茶,yanjiu_3,yanjiu,1762,0,1,375,11,131,539
2023,烟酒糖茶,yanjiu_4,yanjiu,1762,0,0,12,1,27,48
2023,烟酒糖茶,yanjiu_7,yanjiu,1762,0,0,688,16,527,1221
2023,烟酒糖茶,yanjiu_8,yanjiu,1762,0,0,202,6,294,491
2023,烟酒糖茶,yanjiu_9,yanjiu,1762,0,6,509,18,157,884
2024,主食部分,zhushi_1,zhushi,1803,0,1,1137,13,21,1761
2024,主食部分,zhushi_2_1,zhushi,1803,0,1,488,32,354,733
2024,主食部分,zhushi_3,zhushi,1803,0,1,135,2,87,317
2024,主食部分,zhushi_3_1,zhushi,1803,0,4,328,6,137,910
2024,主食部分,zhushi_5,zhushi,1803,2,0,157,3,121,292
2024,主食部分,zhushi_6,zhushi,1803,0,7,692,20,214,1428
2024,主食部分,zhushi_7,zhushi,1803,0,1,186,2,241,546
2024,主食加工品的获取与消费,zhushi_1_1,zhushijiagongpin,1803,0,0,672,3,327,1004
2024,主食加工品的获取与消费,zhushi_2,zhushijiagongpin,1803,2,0,1325,15,178,1572
2024,主食加工品的获取与消费,zhushi_2_2,zhushijiagongpin,1803,2,1,429,11,353,949
2024,主食加工品的获取与消费,zhushi_8,zhushijiagongpin,1803,0,1,388,6,255,645
2024,豆类过去7天的消费,doulei_1,doulei,1803,0,1,216,5,202,555
2024,豆类过去7天的消费,doulei_4,doulei,1803,0,0,384,4,232,713
2024,豆制品的获取与消费,doulei_2,douzhipin,1803,0,1,277,7,154,551
2024,豆制品的获取与消费,doulei_3,douzhipin,1803,0,0,1006,14,362,1454
2024,豆制品的获取与消费,xiancai_4,douzhipin,1803,0,1,236,1,151,512
2024,肉类,roulei_1,roulei,1803,0,0,1195,13,126,1594
2024,肉类,roulei_2,roulei,1803,1,0,698,8,391,1218
2024,肉类,roulei_3,roulei,1803,0,0,381,5,550,960
2024,肉类,roulei_4,roulei,1803,0,0,70,2,383,466
2024,肉类,roulei_9,roulei,1803,0,1,107,1,172,332
2024,肉类,roulei_5,roulei,1803,0,3,190,4,119,420
2024,肉类,roulei_6,roulei,1803,0,0,142,2,125,311
2024,肉类,roulei_7,roulei,1803,2,0,170,4,197,743
2024,肉类,roulei_8,roulei,1803,1,0,89,1,136,344
2024,肉类,shuichan_1,roulei,1803,3,1,758,10,391,1312
2024,肉制品,xiancai_3,rouzhipin,1803,0,2,148,9,130,931
2024,肉制品,roulei_11,rouzhipin,1803,0,0,188,1,172,368
2024,肉制品,roulei_12,rouzhipin,1803,0,0,45,1,55,103
2024,肉制品,roulei_13,rouzhipin,1803,0,0,57,1,51,126
2024,蛋类,danlei_1,danlei,1803,0,2,860,14,58,1660
2024,蛋类,danlei_2,danlei,1803,0,1,172,4,135,478
2024,蛋制品,danlei_3,danzhipin,1803,0,0,228,5,262,594
2024,奶类,nailei_1,nailei,1803,0,0,733,7,187,1013
2024,奶类,nailei_2,nailei,1803,0,0,311,2,190,518
2024,奶类,nailei_3,nailei,1803,2,0,142,2,32,198
2024,油脂类,youzhi_1,youzhi,1803,0,0,306,4,39,356
2024,油脂类,youzhi_2,youzhi,1803,0,0,597,13,54,1009
2024,油脂类,youzhi_3,youzhi,1803,0,0,283,2,59,429
2024,油脂类,youzhi_4,youzhi,1803,0,1,189,2,42,241
2024,油脂类,youzhi_5,youzhi,1803,0,0,101,2,15,147
2024,油脂类,youzhi_6,youzhi,1803,0,0,93,4,20,310
2024,_蔬菜,shucai_1,shucai,1803,0,1,345,5,141,1362
2024,_蔬菜,shucai_2,shucai,1803,1,3,673,9,122,1632
2024,_蔬菜,shucai_3,shucai,1803,1,1,287,0,379,691
2024,_蔬菜,shucai_4,shucai,1803,0,2,630,8,354,1186
2024,_蔬菜,shucai_5,shucai,1803,1,9,568,8,94,1599
2024,_蔬菜,shucai_6,shucai,1803,4,11,613,10,103,1620
2024,_蔬菜,shucai_7,shucai,1803,0,2,389,14,382,848
2024,_蔬菜,shucai_8,shucai,1803,4,9,1018,22,59,1641
2024,_蔬菜,shucai_9,shucai,1803,0,1,37,2,31,81
2024,蔬菜制品,xiancai_1,xiancai,1803,1,3,243,3,101,841
2024,蔬菜制品,xiancai_2,xiancai,1803,0,0,231,3,339,635
2024,水果干果,shuiguo_1,shuiguo,1803,0,1,928,13,243,1349
2024,水果干果,shuiguo_2,shuiguo,1803,0,2,214,2,736,980
2024,水果干果,shuiguo_3,shuiguo,1803,1,0,557,8,331,984
2024,水果干果,shuiguo_7,shuiguo,1803,1,1,848,13,348,1424
2024,水果干果,shuiguo_6,shuiguo,1803,1,1,400,8,653,1118
2024,水果制品,shuiguo_4,shuiguozhipin,1803,0,0,50,2,51,104
2024,水果制品,shuiguo_5,shuiguozhipin,1803,0,0,64,0,68,135
2024,调料,tiaoliao_1,tiaoliao,1803,1,1,1265,35,426,1706
2024,调料,tiaoliao_2,tiaoliao,1803,1,0,1046,28,383,1448
2024,调料,tiaoliao_3,tiaoliao,1803,1,0,1157,39,436,1615
2024,调料,tiaoliao_4,tiaoliao,1803,1,0,855,42,463,1343
2024,烟酒糖茶,yanjiu_1,yanjiu,1803,2,0,870,27,28,922
2024,烟酒糖茶,yanjiu_2,yanjiu,1803,0,0,400,8,131,584
2024,烟酒糖茶,yanjiu_3,yanjiu,1803,0,0,311,13,136,452
2024,烟酒糖茶,yanjiu_4,yanjiu,1803,1,1,44,0,43,96
2024,烟酒糖茶,yanjiu_7,yanjiu,1803,1,0,642,19,661,1312
2024,烟酒糖茶,yanjiu_8,yanjiu,1803,0,0,243,6,460,711
2024,烟酒糖茶,yanjiu_9,yanjiu,1803,4,3,499,10,167,914
