period,item_code,households,module_observed_households,consumer_households,participation_total,participation_purchase,participation_own,participation_gift,quantity_total_sum,quantity_household_mean_all,quantity_household_sd_all,quantity_household_mean_winsor_p99,quantity_household_mean_excl_top1pct_consumers,quantity_consumer_mean_excl_top1pct_consumers,quantity_percap_mean_all,purchase_quantity_share,own_quantity_share,gift_quantity_share,top1pct_quantity_share,outer_fence_3iqr,share_consumers_above_outer_fence,quantity_consumer_n,quantity_consumer_mean,quantity_consumer_sd,quantity_consumer_p01,quantity_consumer_p10,quantity_consumer_p25,quantity_consumer_p50,quantity_consumer_p75,quantity_consumer_p90,quantity_consumer_p95,quantity_consumer_p99,quantity_consumer_max,quantity_pc_consumer_n,quantity_pc_consumer_mean,quantity_pc_consumer_sd,quantity_pc_consumer_p01,quantity_pc_consumer_p10,quantity_pc_consumer_p25,quantity_pc_consumer_p50,quantity_pc_consumer_p75,quantity_pc_consumer_p90,quantity_pc_consumer_p95,quantity_pc_consumer_p99,quantity_pc_consumer_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item,item_count
2023,干果,1760,1760,1121,0.6369318181818182,0.5886363636363636,0.044886363636363634,0.02784090909090909,4559.970563002474,2.5908923653423144,48.15028875052395,1.3022572273553015,1.0106017195993229,1.5929051450492484,1.125163854108371,0.9078123925666712,0.08038537568227096,0.011802231751057823,0.6126001733010183,5.28,0.07136485280999108,1121,4.067770350582046,60.29258697512185,0.040264462809917356,0.08695652173913043,0.24,0.5,1.5,4.0,8.571428571428571,43.7867428571428,2000.0,1121,1.7665373623824556,29.97128173428444,0.010676190476190476,0.04143646408839779,0.08403361344537816,0.20750000000000002,0.5566666666666668,1.6666666666666667,3.642857142857143,13.114285714285652,1000.0,16,水果干果,干果（花生/瓜子/核桃等）,干果,16,水果,干果（花生/瓜子/南瓜子/西瓜子/核桃/杏仁/开心果等）,1,斤/月,元/斤,0,1
2024,干果,1787,1787,1118,0.6256295467263571,0.5842193620593172,0.03749300503637381,0.023503077783995522,3453.3596774405237,1.932490026547579,11.55877989444574,1.5576057101858387,1.340358037108058,2.1511171029537097,0.8029599407337403,0.6915338629637591,0.24815088100656413,0.06031525602967677,0.31106639965457855,7.61142857142857,0.08407871198568873,1118,3.088872698962901,14.493101065452544,0.041228090091726455,0.16,0.32,0.8300000000000001,2.142857142857143,6.349624060150383,10.0,33.69215735294085,428.57142857142856,1118,1.2834431253051823,5.531443440691192,0.012380102584396212,0.04155124653739612,0.1,0.29575000000000007,0.8571428571428572,2.142857142857143,4.285714285714286,19.635957142856988,142.85714285714286,16,水果干果,干果（花生/瓜子/核桃等）,干果,16,水果,干果（花生/瓜子/南瓜子/西瓜子/核桃/杏仁/开心果等）,1,斤/月,元/斤,0,1
pooled_2023_2024,水产制品,3547,3547,261,0.07358330983930082,0.06258810262193402,0.007048209754722301,0.00422892585283338,712.3049834844901,0.20081899731730762,2.7662812324367856,0.16747089630639234,0.12843175122506573,1.764194288145864,0.07130992909757504,0.44322878563897466,0.5031443978190151,0.05362681654201018,0.36100106429826234,5.92,0.10344827586206896,261,2.729137867756667,9.871124110530474,0.007792558139534884,0.04335260115606936,0.16,0.4,1.6,6.428571428571429,8.571428571428571,46.285714285713595,107.14285714285714,261,0.9691046686172362,3.351837571165498,0.003082790697674419,0.02,0.05,0.165,0.6225,1.7142857142857142,3.571428571428571,18.42857142857111,32.14285714285714,8,肉制品,咸鱼虾酱等腌制水产品,水产制品,8,肉类及制品,咸鱼虾酱等腌制水产品,1,斤/月,元/斤,0,1
2023,水产制品,1760,1760,135,0.07670454545454546,0.07215909090909091,0.0005681818181818182,0.003977272727272727,84.43111268669722,0.0479722231174416,0.4272252706319115,0.04775144389666238,0.03827545821606375,0.5059267334123314,0.01851517848552244,0.8822835150496627,0.10151978694435786,0.016196698005979407,0.2030395738887157,1.7639999999999998,0.06666666666666667,135,0.6254156495310905,1.4255164229134745,0.007189116279069768,0.040600000000000004,0.08,0.17191977077363896,0.501,1.2000000000000002,2.0428571428571423,8.377142857142855,8.571428571428571,135,0.24138306766310727,0.47756057186614664,0.0030066046511627907,0.012833333333333334,0.031625,0.08325,0.23931666666666668,0.5006,1.0,2.4885714285714267,3.2142857142857144,8,肉制品,咸鱼虾酱等腌制水产品,水产制品,8,肉类及制品,咸鱼虾酱等腌制水产品,1,斤/月,元/斤,0,1
2024,水产制品,1787,1787,126,0.07050923335198657,0.05316172355903749,0.013430330162283156,0.004476776720761052,627.8738707977928,0.35135639104521144,3.8688196513254,0.333369341720725,0.24370685038691875,3.508199418876209,0.12330699741162794,0.3841884575434621,0.5571514434306165,0.058660099025921376,0.3071590518842479,16.18285714285714,0.05555555555555555,126,4.98312595871264,13.805582084374237,0.026355113636363635,0.1665,0.32,1.245,4.285714285714286,8.571428571428571,15.664285714285715,80.35714285714285,107.14285714285714,126,1.7488063839252315,4.683928632088309,0.007109780844155844,0.04188340336134454,0.1075735294117647,0.3860714285714286,1.3928571428571428,3.8626373626373627,6.25,28.125,32.14285714285714,8,肉制品,咸鱼虾酱等腌制水产品,水产制品,8,肉类及制品,咸鱼虾酱等腌制水产品,1,斤/月,元/斤,0,1
pooled_2023_2024,水产品,3547,3547,2407,0.6786016351846631,0.5957146884691289,0.03636876233436707,0.06850859881590077,14345.209241498404,4.0443217483784615,12.367701642781345,3.704548697944261,3.305020296523437,4.886768045489314,1.6588101066631045,0.7230481790692269,0.13589828358306055,0.14105353734771262,0.1885596586014188,24.694455685957102,0.04653095139177399,2407,5.959787802865976,14.629229705175996,0.04250744534030653,0.17341040462427745,0.33994334277620397,1.0,6.428571428571429,17.142857142857142,21.428571428571427,59.9901098901099,343.9285714285714,2407,2.4444534475837276,7.792864838884584,0.017513361259569555,0.06446991404011461,0.13005780346820808,0.4285714285714286,2.142857142857143,6.428571428571429,10.714285714285714,25.714285714285715,232.5,6,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,0,1
2023,水产品,1760,1760,1095,0.6221590909090909,0.5602272727272727,0.01818181818181818,0.060227272727272727,3845.7850270816944,2.18510512902369,8.79842813120708,1.9094026696081041,1.6182308984376268,2.6109647983094177,0.8576134640116804,0.6648642982584669,0.21523050460930776,0.11990519713222542,0.26405510931142173,7.227354545454546,0.12968036529680366,1095,3.5121324448234645,10.945470627581432,0.04220830985915493,0.1694915254237288,0.2556818181818182,0.5202312138728323,1.9986000000000002,8.571428571428571,16.463546798029512,48.205714285714095,171.42857142857142,1095,1.378447211562153,3.822108605990281,0.012866459167037199,0.05640168695790563,0.1,0.22266666666666668,0.75,4.025862068965519,6.428571428571429,17.314285714285557,42.857142857142854,6,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,0,1
2024,水产品,1787,1787,1312,0.7341913822048125,0.6306659205372132,0.05428091773922775,0.07666480134303301,10499.424214416707,5.875447238061952,14.855639754734451,5.404906027733389,4.973811095070257,6.793965386409527,2.4479013719493423,0.7443600808525913,0.10684005509764012,0.14879986404976872,0.1600904114864857,35.329306503198296,0.03048780487804878,1312,8.00260991952493,16.840853643027838,0.08241758241758242,0.249,0.50075,2.64,9.207889125799573,21.428571428571427,25.714285714285715,60.0,343.9285714285714,1312,3.334146152190149,9.875224514253572,0.020667435276927996,0.08317213203546944,0.20899790502793295,1.0,3.2142857142857144,8.571428571428571,12.857142857142858,29.690934065934268,232.5,6,肉类,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,水产品,6,肉类及制品,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）,1,斤/月,元/斤,0,1
pooled_2023_2024,水果制品,3547,3547,702,0.1979137299126022,0.17535945869749084,0.009021708486044545,0.018607273752466874,3031.814374103583,0.8547545458425664,11.785109711589264,0.5687019460600541,0.424764889949747,2.166056117481491,0.3505269148047011,0.6406416549228006,0.3033189259657075,0.056039419111491955,0.5041771163920223,3.916797298915562,0.15384615384615385,702,4.318823894734448,26.221848113422848,0.01670345454545455,0.08426966292134831,0.16877737573795468,0.48725274725274725,1.1057823565323566,6.428571428571429,12.857142857142858,64.24285714285718,428.57142857142856,702,1.7711096393337245,11.606173252357166,0.0053477966101694915,0.02824858757062147,0.0670391061452514,0.1678324961269424,0.5,2.238196125907988,5.141428571428569,16.070714285714285,214.28571428571428,17,水果制品,罐头/果脯/糖渍水果；其他水果干（不含果脯）,水果制品,17,水果,罐头/果脯/糖渍水果; 其他除果脯以外的水果干（苹果干/草莓干/香蕉干/干枣等）,2,斤/月,元/斤,0,2
2023,水果制品,1760,1760,486,0.2761363636363636,0.24488636363636362,0.01534090909090909,0.023863636363636365,1902.0049209274737,1.0806846141633373,12.938476747397976,0.7146537700074926,0.5302429341874085,1.9346701652783826,0.49077618681989116,0.5325687046911718,0.42434195050527074,0.04308934480355725,0.5107392524278402,3.5002,0.12551440329218108,486,3.9135903722787515,24.413776442212246,0.017128246753246753,0.08415163818336324,0.1666,0.4,1.0,6.0,8.892857142857142,65.44285714285697,428.57142857142856,486,1.777296479018536,12.300890214092702,0.008261267334360556,0.02824858757062147,0.06401176948051948,0.16666666666666666,0.38600352112676056,2.142857142857143,4.285714285714286,30.299999999999955,214.28571428571428,17,水果制品,罐头/果脯/糖渍水果；其他水果干（不含果脯）,水果制品,17,水果,罐头/果脯/糖渍水果; 其他除果脯以外的水果干（苹果干/草莓干/香蕉干/干枣等）,2,斤/月,元/斤,0,2
2024,水果制品,1787,1787,216,0.1208729714605484,0.10688304420817012,0.0027979854504756574,0.013430330162283156,1129.8094531761096,0.6322380823593227,10.525324098790856,0.4039704350653743,0.3330129862454171,2.789179189961615,0.21239668607121778,0.8225796645419028,0.09957980201637423,0.07784053344172306,0.47416339472845687,7.827626918536009,0.1111111111111111,216,5.230599320259767,29.93498218295506,0.013391379310344828,0.09335260115606936,0.24793388429752067,0.5005,2.142857142857143,8.571428571428571,20.39010989010989,42.59999999999999,428.57142857142856,216,1.7571892500428987,9.892598023324677,0.004463793103448276,0.029541666666666667,0.08291115702479339,0.2142857142857143,0.8142857142857143,3.913265306122449,6.428571428571429,10.714285714285714,142.85714285714286,17,水果制品,罐头/果脯/糖渍水果；其他水果干（不含果脯）,水果制品,17,水果,罐头/果脯/糖渍水果; 其他除果脯以外的水果干（苹果干/草莓干/香蕉干/干枣等）,2,斤/月,元/斤,0,2
pooled_2023_2024,油脂,3547,3547,3480,0.9811107978573442,0.7096137581054413,0.3256272906681703,0.06061460389061178,45669.852073883056,12.875627875354681,79.25319088286047,9.590971249285493,7.551017944537485,7.69787373620193,5.401140268078444,0.5392573002262248,0.4229441928197822,0.037798506953993054,0.4193286420478464,33.01810865191147,0.06264367816091954,3480,13.123520710885936,79.99235886001883,0.04307751210354708,0.17094017094017094,0.4225352112676056,1.694915254237288,8.571428571428571,21.428571428571427,42.857142857142854,214.28571428571428,3000.0,3480,5.505127738756966,38.27037746157998,0.014568360566818088,0.06502890173410404,0.16517573335755154,0.6355582380764683,3.0612244897959187,8.571428571428571,15.825623388291815,78.45918367346971,1317.857142857143,12,油脂类,大豆油；菜籽油；花生油；色拉油/调和油；其他植物油；动物油,油脂,12,油脂,大豆油; 菜籽油; 花生油; 色拉油/调和油; 其他植物油; 动物油,6,斤/月,元/斤,0,6
2023,油脂,1760,1760,1730,0.9829545454545454,0.6596590909090909,0.34204545454545454,0.06534090909090909,26794.80234711875,15.224319515408382,106.56204987565457,10.14304200703779,7.557030215662005,7.6894548105626255,6.6372421430308135,0.43111030643411274,0.5500344202670131,0.018855273298874202,0.5086977517078503,18.842333696402953,0.09595375722543352,1730,15.48832505613801,107.46352249946122,0.042548929143800686,0.16901408450704225,0.385888767865682,0.8571428571428572,5.0,17.16746142857146,42.857142857142854,260.41151648351644,3000.0,1730,6.752338827592042,52.20453760550165,0.013395144390493227,0.06171953046953048,0.13812154696132597,0.4074833305292613,2.142857142857143,6.803360660503518,15.743303571428568,128.57142857142856,1317.857142857143,12,油脂类,大豆油；菜籽油；花生油；色拉油/调和油；其他植物油；动物油,油脂,12,油脂,大豆油; 菜籽油; 花生油; 色拉油/调和油; 其他植物油; 动物油,6,斤/月,元/斤,0,6
2024,油脂,1787,1787,1750,0.9792949076664801,0.7588136541689984,0.3094571908226077,0.05595970900951315,18875.0497267643,10.56242290249821,35.722620550135595,8.944542321667162,8.012500904363,8.183668648855742,4.183714806457756,0.6927815221510947,0.242528375431486,0.0646901024174192,0.24905553601166708,41.36953955135773,0.052571428571428575,1750,10.785742701008171,36.065101094656995,0.0436046511627907,0.1744186046511628,0.49586776859504134,3.298351648351648,10.714285714285714,23.4896103896104,42.857142857142854,100.54350161117067,857.1428571428571,1750,4.272170490937149,14.701146101402266,0.01655129902744167,0.06974721941354904,0.18371098439375752,1.1735777803916956,4.285714285714286,8.796749779856691,15.892337895707161,42.88032467532467,400.1827485380117,12,油脂类,大豆油；菜籽油；花生油；色拉油/调和油；其他植物油；动物油,油脂,12,油脂,大豆油; 菜籽油; 花生油; 色拉油/调和油; 其他植物油; 动物油,6,斤/月,元/斤,0,6
pooled_2023_2024,烟草,3547,3547,1734,0.48886382858753874,0.477868621370172,0.004510854243022272,0.007893994925288977,21283.78964073662,6.000504550531892,19.083471614696006,5.577611965248554,5.1470075490894365,10.584958998098264,2.305504137594359,0.979345620377607,0.0018188217352556205,0.018835557887137595,0.1465904358511607,83.5348625591261,0.014994232987312572,1734,12.274388489467485,25.84795431040089,0.024725274725274724,0.14528925619834718,0.6424407716078284,2.071823204419889,21.365546218487395,30.0,42.857142857142854,90.0,514.2857142857142,1734,4.716045660926868,9.372906194544122,0.006546990473930436,0.05200745834947696,0.21680779152534277,0.7950177409816677,6.0,15.0,20.0,42.857142857142854,171.42857142857142,19,烟酒糖茶,烟,烟草,19,未纳入原六类,烟,1,包/月,元/包,0,1
2023,烟草,1760,1760,812,0.46136363636363636,0.4460227272727273,0.00909090909090909,0.008522727272727272,7566.955459878711,4.299406511294722,18.4767773441135,3.797783134671345,3.3767388609897178,7.363225087911577,1.6386068307717638,0.9561042054759513,0.005115851337097823,0.03877994318695077,0.21861972401674878,15.404916216380304,0.1810344827586207,812,9.31891066487526,26.33664571836314,0.02560870775478124,0.09574191002367809,0.579313642158946,1.3559322033898304,4.285714285714286,30.0,42.857142857142854,85.71428571428571,428.57142857142856,812,3.5516601258107197,8.411934989593536,0.008287292817679558,0.04240909749384326,0.1941758747697974,0.5128246753246752,1.699787535410765,10.961538461538453,15.137755102040796,44.764285714285684,85.71428571428571,19,烟酒糖茶,烟,烟草,19,未纳入原六类,烟,1,包/月,元/包,0,1
2024,烟草,1787,1787,922,0.5159485170677113,0.5092333519865697,0.0,0.007274762171236709,13716.83418085791,7.675900492925523,19.523466888530617,7.313761233192532,6.84844756539958,13.34395978477528,2.9623252120251182,0.9921668551513576,0.0,0.007833144848642514,0.11279154043444826,117.65046764408493,0.007592190889370932,922,14.877260499845889,25.137670558564086,0.01808995916406438,0.17142857142857143,0.7831774519716885,4.285714285714286,30.0,33.333333333333336,42.857142857142854,90.0,514.2857142857142,922,5.741513182092067,10.037339256764682,0.005005430615895732,0.06993355481727576,0.27874786278147623,1.7094155844155843,7.5,15.0,21.428571428571427,41.9571428571427,171.42857142857142,19,烟酒糖茶,烟,烟草,19,未纳入原六类,烟,1,包/月,元/包,0,1
