编号,来源,标题,作者_年份,期刊级别,数据层级/区域,调研/数据年份,作物分类,样本量 (N),自由度 (DF),因变量定义 (Y) 及形式,自变量定义 (X) 及形式,样本均值 (Yˉ / Xˉ),模型设定,控内生性,核心回归系数 β,标准误 SE 或 t 值,[轨道一] PCC,[轨道一] SEPCC​,[轨道二] CASM 对接弹性 (Emeta​),CASM 软链接目标,检查结果,beta,se_raw,t_raw,p_raw,N,DF_report,DF_used,t_stat,PCC_report,SE_PCC_report,PCC_recalc,SE_PCC_recalc,PCC,SE_PCC,PCC_source,elast_type,elasticity,Target,Path,Mech,Micro,Endog,PubYear,DataYear_mid,LogN
P_22,中文check版,,徐建玲_2020,核心期刊,宏观 / 20省,2004-2018,maiz,300,未报告,玉米单产 (Log),农业机械化投入 (Log),"Yˉ=5489.50,Xˉ=921.72",双向固定效应 FE,1 (FE控制),-0.04,SE = 0.02,-0.211,0.056,弹性 = -0.158,YieldInt2 (异质性),已修正,-0.04,0.02,,,300,,300.0,-2.0,-0.211,0.056,-0.11470786693528087,0.05735393346764044,-0.11470786693528087,0.05735393346764044,recalc,full,-0.158,Yield,MCI,1,0,1,2020.0,2011.0,5.703782474656201
P_23,中文check版,,彭超_2020,核心期刊,微观 / 全国,2003-2016,cgrn,226741,未报告,粮食产值 (Log),机械作业费用 (Log),"Yˉ=6.510,Xˉ=-1.321",CRE SFA,1 (CRE),0.00101,SE = 0.000183,0.070 (转正),0.003,探讨效率 TE,讨论 Efficiency,已修正,0.00101,0.000183,,,226741,,226741.0,5.51912568306011,0.07,0.003,0.01158980383380489,0.0020999347540458365,0.01158980383380489,0.0020999347540458365,recalc,none,,Efficiency,AMS,1,1,1,2020.0,2009.5,12.331563675899696
P_24,中文check版,,张丽_2020,核心期刊,宏观 / 31省,2004-2016,cgrn,394,未报告,TFP增长率 ΔTFP/TFP (Level),农机服务发展中级阶段 PD2 (虚拟),未报告,变系数SFA + OLS,1 (FE控制),0.0323,SE = 0.0092,0.139 (转正),0.049,探讨效率 TE (长期红利),讨论 Efficiency,已修正,0.0323,0.0092,,,394,,394.0,3.5108695652173916,0.139,0.049,0.17417157493734708,0.049609241158625174,0.17417157493734708,0.049609241158625174,recalc,none,,Efficiency,AMS,1,0,1,2020.0,2010.0,5.976350909297934
P_25,中文check版,,彭继权_2021,核心期刊,微观 / 湖北省,2016,rice/whea/maiz/pota,1682,未报告,主粮单产 (Log),农业机械投入额 (Log),"Yˉ=7.174,Xˉ=4.137",IV-Tobit,1 (IV),1.219,SE = 0.400,0.482,0.03,稻1.22/麦0.81/玉1.11,YieldInt2 (分品种),已修正,1.219,0.4,,,1682,,1682.0,3.0475,0.482,0.03,0.07410286957952798,0.024315953922732725,0.07410286957952798,0.024315953922732725,recalc,none,,Yield,MCI,1,1,1,2021.0,2016.0,7.427738840532893
P_26,中文check版,,彭继权_2020,核心期刊,微观 / 湖北省,2016,cgrn,1682,未报告,粮食作物种植面积比例 (Level),机械化水平 Mechine (Level),"Yˉ=0.725,Xˉ=0.636",IV-GMM / IV-Tobit,1 (IV),1.104,SE = 0.113,0.168,0.024,弹性 = 1.104,AreaInt2 (趋粮化),已修正,1.104,0.113,,,1682,,1682.0,9.76991150442478,0.168,0.024,0.23173508444010657,0.02371926136026453,0.23173508444010657,0.02371926136026453,recalc,full,1.104,Area,AML,1,1,1,2020.0,2016.0,7.427738840532893
P_27,中文check版,,刘成_2019,核心期刊,宏观 / 15省,2004-2015,whea,180,未报告,小麦生产技术效率 (Level),农机服务比例 ser (Level),"Yˉ=0.7191,Xˉ=0.3008",SFA + 固定效应 FE,1 (FE控制),0.0916,SE = 0.0242,0.162 (转正),0.074,探讨效率 TE,讨论 Efficiency,已修正,0.0916,0.0242,,,180,,180.0,3.785123966942149,0.162,0.074,0.2715272067584251,0.07173535375058829,0.2715272067584251,0.07173535375058829,recalc,none,,Efficiency,AMS,1,0,1,2019.0,2009.5,5.19295685089021
P_28,中文check版,,虞松波_2019,核心期刊,宏观 / 15省,1994-2016,whea,345,未报告,小麦成本效率 CE (Level),农业机械化水平 lnmec (Log),"Yˉ=0.827,Xˉ=851.05",SFA + 空间杜宾 SDM,1 (空间控制),0.078 (直接效应),t = 2.409,0.123 (转正),0.053,探讨效率 TE,讨论 Efficiency,已修正,0.078,,2.409,,345,,345.0,2.409,0.123,0.053,0.12861895499596632,0.053391014942285736,0.12861895499596632,0.053391014942285736,recalc,none,,Efficiency,AML,1,0,1,2019.0,2005.0,5.843544417031359
P_29,中文check版,,陈实_2019,核心期刊,宏观 / 湖北,1996-2014,rice,304,未报告,水稻产量 (Log),农业机械总动力 (Log),"Yˉ=105.74,Xˉ=147.46",空间杜宾 SDM,1 (空间控制),-0.0146,SE = 0.0569,0.207,0.056,弹性 = 0.584,YieldInt2 (水稻专项),已修正,-0.0146,0.0569,,,304,,304.0,-0.2565905096660808,0.207,0.056,-0.014714881671003151,0.05734772377260818,-0.014714881671003151,0.05734772377260818,recalc,full,0.584,Yield,MCI,1,0,1,2019.0,2005.0,5.717027701406222
P_30,中文check版,,胡祎_2018,核心期刊,宏观 / 15省,2000-2015,whea,240,未报告,小麦生产技术效率 (Level),农机服务使用水平 lev (Log),"Yˉ=0.873,Xˉ=1.916",Translog SFA + Tobit,0,0.0179,SE = 0.0036,0.262,0.062,探讨效率 TE,讨论 Efficiency,已修正,0.0179,0.0036,,,240,,240.0,4.972222222222222,0.262,0.062,0.3056009481543315,0.0614616432042231,0.3056009481543315,0.0614616432042231,recalc,none,,Efficiency,AMS,1,0,0,2018.0,2007.5,5.480638923341991
P_31,中文check版,,杨进_2018,核心期刊,微观 / 全国,2009-2014,cgrn,54211,未报告,粮食播种面积占比 (Level),"每亩农业机械作业费用 (村中值, Log)",未报告,面板固定效应 FE,1 (村中值),-0.010,SE = 0.00,-0.009,0.005,弹性 = -0.221,AreaInt2 (成本约束),已修正,-0.01,0.0,,,54211,,54211.0,-inf,-0.009,0.005,,,-0.009,0.005,report,full,-0.221,Area,AMS,1,1,1,2018.0,2011.5,10.90063911886528
