study_id,author_year,lang,Target,Path,crop,dep_var,x_var,beta,se,t_stat,p_report,N,df,model,endog,micro,region,data_years,spec_type,mean_y,mean_x,elast_reported,table_source,notes,part,t_use,df_use,PCC,SE_PCC,elasticity,elast_type
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),ln农机社会化服务费用(耕种管收合计),0.56,0.17,,***,98.0,,IV-Tobit,1.0,1.0,河南/山东/河北/陕西,2021调查,subgroup,0.79,,,表5列2,"规模异质性0.67-1.33hm2组;表5未明示模型,承接前文IV-Tobit设定",cn_g1.csv,3.294117647058824,98.0,0.31573481518554336,0.09584806889561137,,none
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),ln农机社会化服务费用(耕种管收合计),0.8,0.429,,*,85.0,,IV-Tobit,1.0,1.0,河南/山东/河北/陕西,2021调查,subgroup,0.79,,,表5列3,"规模异质性1.33hm2以上组;表5未明示模型,承接前文IV-Tobit设定",cn_g1.csv,1.864801864801865,85.0,0.1982514204962162,0.10631232424109592,,none
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),农机社会化服务使用环节数(耕种管收0-4),0.211,0.056,,***,560.0,,Tobit,0.0,1.0,河南/山东/河北/陕西,2021调查,robust,0.79,,,表6 Tobit列,"稳健性:更换自变量为服务环节数(表6表头仍误作费用,正文明确为环节数)",cn_g1.csv,3.767857142857143,560.0,0.15724037259315118,0.04173204201524392,,none
17农机社会化服务对粮食生产技术效率的影响_基于四省小麦和玉米种植户的调查-薛信阳,薛信阳2024,cn,Efficiency,AMS,mixed,粮食生产技术效率TE(SFA-CD),农机社会化服务使用环节数(耕种管收0-4),0.651,0.145,,***,559.0,,IV-Tobit,1.0,1.0,河南/山东/河北/陕西,2021调查,robust,0.79,,,表6 IV-Tobit列,稳健性:更换自变量;Wald=12.11***,cn_g1.csv,4.489655172413793,559.0,0.18655840930972087,0.04155294831015288,,none
20农机服务规模经营对粮食生产效率的影响机理研究-彭新宇,彭新宇2023,cn,Efficiency,AMS,cgrn,"技术无效率项u(SFA-BC95,一步法)",农机服务规模经营sca(均组织机耕承接面积),1.57,0.39,,***,309.0,,SFA(BC95),0.0,0.0,全国31省,2009-2019,baseline,0.791,0.14,,表4技术无效率变量,"因变量为无效率项,负系数=提高技术效率;稳健标准误;剔除西藏2009等极端值",cn_g1.csv,4.0256410256410255,309.0,0.2232317241935139,0.055452466519407904,0.2778761061946903,converted
20农机服务规模经营对粮食生产效率的影响机理研究-彭新宇,彭新宇2023,cn,Efficiency,AMS,cgrn,粮食生产技术效率TE(SFA测算),农机服务规模经营sca,0.178,0.09,,**,185.0,,面板Tobit,0.0,0.0,全国31省,2009-2014,subgroup,,0.14,,表6列1,分时期(农业R&D低增速期),cn_g1.csv,1.9777777777777779,185.0,0.1438958185559933,0.07275631275303031,,none
20农机服务规模经营对粮食生产效率的影响机理研究-彭新宇,彭新宇2023,cn,Efficiency,AMS,cgrn,粮食生产技术效率TE(SFA测算),农机服务规模经营sca,0.375,0.062,,***,154.0,,面板Tobit,0.0,0.0,全国31省,2015-2019,subgroup,,0.14,,表6列2,分时期(农业R&D高增速期),cn_g1.csv,6.048387096774194,154.0,0.43812447425033785,0.07243657974272252,,none
20农机服务规模经营对粮食生产效率的影响机理研究-彭新宇,彭新宇2023,cn,Efficiency,AMS,cgrn,粮食生产技术效率TE(SFA测算),农机服务规模经营sca,0.163,0.085,,*,100.0,,面板Tobit,0.0,0.0,全国31省,2009-2019,subgroup,,,,表7样本1,分地区:劳动力成本高省份组(按劳动日工价划分),cn_g1.csv,1.9176470588235293,100.0,0.18833311614127995,0.09821052068717054,,none
20农机服务规模经营对粮食生产效率的影响机理研究-彭新宇,彭新宇2023,cn,Efficiency,AMS,cgrn,粮食生产技术效率TE(SFA测算),农机服务规模经营sca,0.391,0.308,,,100.0,,面板Tobit,0.0,0.0,全国31省,2009-2019,subgroup,,,,表7样本2,"分地区:劳动力成本低省份组,不显著(原文无星号)",cn_g1.csv,1.2694805194805197,100.0,0.12593731707025435,0.09920382009626173,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",本地化农机作业服务(外包环节数0-6),0.109,0.011,,***,677.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,baseline,0.546,4.113,,表5模型I,小麦玉米混合;未加控制变量,cn_g2.csv,9.90909090909091,677.0,0.3559014101826747,0.03591665607348093,0.8210934065934066,converted
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",本地化农机作业服务(外包环节数0-6),0.096,0.011,,***,677.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,baseline,0.546,4.113,,表5模型II,加入资源禀赋控制,cn_g2.csv,8.727272727272728,677.0,0.3180045980567564,0.03643802686067,0.7231648351648352,converted
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",本地化农机作业服务(外包环节数0-6),0.081,0.013,,***,677.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,baseline,0.546,4.113,,表5模型III,加入决策者特征控制,cn_g2.csv,6.230769230769231,677.0,0.23288364960492747,0.03737638820819823,0.6101703296703297,converted
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",本地化农机作业服务(外包环节数0-6),0.079,0.013,,***,677.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,baseline,0.546,4.113,,表5模型IV,加入家庭特征控制,cn_g2.csv,6.0769230769230775,677.0,0.2274344396101546,0.03742592044217734,0.5951043956043957,converted
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",本地化农机作业服务(外包环节数0-6),0.079,0.013,,**,677.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,baseline,0.546,4.113,,表5模型V,"首选设定(含县域虚拟变量);表中印为**但正文称均在1%显著,星号存疑",cn_g2.csv,6.0769230769230775,677.0,0.2274344396101546,0.03742592044217734,0.5951043956043957,converted
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",服务外包-本地(dummy),0.159,0.044,,***,677.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,0.546,,,表6,"不同农机服务采纳情境比较,对照组为服务外包-外地;N按全样本推断表中未单列",cn_g2.csv,3.6136363636363638,677.0,0.13756296709509985,0.03806773932191442,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",服务外包-本地+外地(dummy),0.037,0.018,,**,677.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,0.546,,,表6,"不同农机服务采纳情境比较,对照组为服务外包-外地;N按全样本推断表中未单列",cn_g2.csv,2.055555555555556,677.0,0.0787560329111891,0.03831374574057848,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",服务外包-本地+自我服务(dummy),0.048,0.015,,***,677.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,0.546,,,表6,"不同农机服务采纳情境比较,对照组为服务外包-外地;N按全样本推断表中未单列",cn_g2.csv,3.2,677.0,0.1220662952328464,0.03814571726026449,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",服务外包-外地+自我服务(dummy),0.012,0.009,,ns,677.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,0.546,,,表6,"不同农机服务采纳情境比较,对照组为服务外包-外地;N按全样本推断表中未单列",cn_g2.csv,1.3333333333333335,677.0,0.05117701235467443,0.038382759266005824,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",服务外包-本地+外地+自我服务(dummy),0.031,0.03,,ns,677.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,0.546,,,表6,"不同农机服务采纳情境比较,对照组为服务外包-外地;N按全样本推断表中未单列",cn_g2.csv,1.0333333333333334,677.0,0.03968294413922129,0.03840284916698834,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",本地化农机作业服务(外包环节数0-6),0.086,0.01,,***,591.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,subgroup,,,,表7(小农户(<50亩)),分组:小农户(<50亩),cn_g2.csv,8.6,591.0,0.3335037260997625,0.038779503034856104,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",本地化农机作业服务(外包环节数0-6),0.045,0.012,,***,86.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,subgroup,,,,表7(规模经营农户(>=50亩)),分组:规模经营农户(>=50亩),cn_g2.csv,3.75,86.0,0.37488286740304605,0.09996876464081227,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",本地化农机作业服务(外包环节数0-6),0.118,0.016,,***,154.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,subgroup,,,,表7(专业农户(非农收入<10%)),分组:专业农户(非农收入<10%),cn_g2.csv,7.374999999999999,154.0,0.510884746408981,0.06927250798765844,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",本地化农机作业服务(外包环节数0-6),0.076,0.02,,**,248.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,subgroup,,,,表7(一兼户),分组:一兼户,cn_g2.csv,3.8,248.0,0.2345679012345679,0.0617283950617284,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",本地化农机作业服务(外包环节数0-6),0.032,0.014,,**,275.0,,Tobit,0.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,subgroup,,,,表7(二兼户),分组:二兼户,cn_g2.csv,2.2857142857142856,275.0,0.1365428297622345,0.05973748802097759,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",是否购买本地化农机作业服务(dummy),0.041,0.011,,,667.0,,PSM,1.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,,,,表9(最小近邻匹配(1对1)),"PSM平均处理效应ATT,处理=购买本地化农机服务;表中该行未印星号,疑OCR遗漏",cn_g2.csv,3.7272727272727275,667.0,0.14284066932809836,0.03832310640509956,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",是否购买本地化农机作业服务(dummy),0.042,0.012,,***,667.0,,PSM,1.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,,,,表9(最小近邻匹配(1对4)),"PSM平均处理效应ATT,处理=购买本地化农机服务",cn_g2.csv,3.5,667.0,0.13429295209341927,0.03836941488383408,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",是否购买本地化农机作业服务(dummy),0.041,0.012,,***,667.0,,PSM,1.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,,,,表9(半径(卡尺)匹配),"PSM平均处理效应ATT,处理=购买本地化农机服务",cn_g2.csv,3.4166666666666665,667.0,0.13115115791135828,0.03838570475454389,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",是否购买本地化农机作业服务(dummy),0.041,0.011,,***,667.0,,PSM,1.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,,,,表9(核匹配),"PSM平均处理效应ATT,处理=购买本地化农机服务",cn_g2.csv,3.7272727272727275,667.0,0.14284066932809836,0.03832310640509956,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)",是否购买本地化农机作业服务(dummy),0.05,0.015,,***,667.0,,PSM,1.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,,,,表9(局域线性回归匹配),"PSM平均处理效应ATT,处理=购买本地化农机服务",cn_g2.csv,3.3333333333333335,667.0,0.12800540706259392,0.03840162211877817,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)","本地化程度低(0<环节数<=3,vs无本地化)",0.023,0.011,,**,667.0,,MESR,1.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,,,,表10,多项内生转换模型平均处理效应,cn_g2.csv,2.090909090909091,667.0,0.08069629037154186,0.03859387800378089,,none
21农机作业服务市场的_本地化_提高了农户粮食生产技术效率吗_-魏素豪,魏素豪、高延雷2023,cn,Efficiency,AMS,cgrn,"粮食生产技术效率TE(SFA测算,0-1)","本地化程度高(4<=环节数<=6,vs无本地化)",0.102,0.014,,***,667.0,,MESR,1.0,1.0,华北平原(冀鲁豫3省8县),2019-2020,robust,,,,表10,多项内生转换模型平均处理效应,cn_g2.csv,7.285714285714285,667.0,0.2715071489994838,0.03726568711757621,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.246,0.03,,**,9297.0,,Tobit,0.0,1.0,全国29省(CRHPS),2015;2017,baseline,0.904,0.531,,表2列(1),"无控制变量;bootstrap标准误;正文称1%显著但表中印**,星号存疑",cn_g2.csv,8.200000000000001,9297.0,0.08473787804175807,0.010333887566068055,0.14449778761061946,converted
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.255,0.031,,**,9297.0,,Tobit,0.0,1.0,全国29省(CRHPS),2015;2017,baseline,0.904,0.531,,表2列(2),加户主特征;正文称1%显著但表中印**,cn_g2.csv,8.225806451612904,9297.0,0.08500263512253384,0.010333653681562936,0.14978429203539823,converted
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.255,0.028,,**,9297.0,,Tobit,0.0,1.0,全国29省(CRHPS),2015;2017,baseline,0.904,0.531,,表2列(3),首选设定(全部控制+省份年份FE);正文称1%显著但表中印**,cn_g2.csv,9.107142857142858,9297.0,0.09403339532108625,0.010325235564668293,0.14978429203539823,converted
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,是否种植粮食作物(dummy),农机服务市场发育程度(村庄采用农机服务农户占比),0.021,0.007,,**,9297.0,,Probit,0.0,1.0,全国29省(CRHPS),2015;2017,robust,,0.531,,表3列(1),"两部分模型第一部分,参与决策;村庄聚类SE",cn_g2.csv,3.0,9297.0,0.031098520678556146,0.010366173559518715,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.05,0.016,,***,9088.0,,OLS,0.0,1.0,全国29省(CRHPS),2015;2017,robust,,0.531,,表3列(2),"两部分模型第二部分,种粮子样本;村庄聚类SE",cn_g2.csv,3.125,9088.0,0.03276292362841838,0.010484135561093882,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.368,0.054,,***,9297.0,,IV-Tobit,1.0,1.0,全国29省(CRHPS),2015;2017,robust,0.904,0.531,,表4列(2),IV=村庄耕地适合大机械耕作农户占比;第二阶段;一阶段F=510.9,cn_g2.csv,6.814814814814815,9297.0,0.07050186713697276,0.01034538267770796,0.21615929203539822,converted
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),村庄亩均农机服务支出,0.002,0.0,,***,9291.0,,IV-Tobit,1.0,1.0,全国29省(CRHPS),2015;2017,robust,0.904,,,表5列(1),替换核心解释变量,cn_g2.csv,inf,9291.0,,,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),市域农机服务市场发育程度,0.666,0.01,,***,9296.0,,IV-Tobit,1.0,1.0,全国29省(CRHPS),2015;2017,robust,0.904,,,表5列(2),替换核心解释变量,cn_g2.csv,66.60000000000001,9296.0,0.5683479393579177,0.008533752843211976,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),市域亩均农机服务支出,0.003,0.001,,**,9296.0,,IV-Tobit,1.0,1.0,全国29省(CRHPS),2015;2017,robust,0.904,,,表5列(3),替换核心解释变量,cn_g2.csv,3.0,9296.0,0.03110019169871686,0.010366730566238954,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.251,0.032,,***,6725.0,,Tobit,0.0,1.0,全国29省(CRHPS),2015;2017,subgroup,,0.531,,表7(小规模(播种面积<均值8.32亩)),按播种面积分组:小规模(播种面积<均值8.32亩),cn_g2.csv,7.84375,6725.0,0.09521383003526004,0.012138814984574987,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.386,0.056,,***,2572.0,,Tobit,0.0,1.0,全国29省(CRHPS),2015;2017,subgroup,,0.531,,表7(中等及以上规模(>=均值)),按播种面积分组:中等及以上规模(>=均值),cn_g2.csv,6.892857142857143,2572.0,0.1346756637535575,0.019538438264764816,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.258,0.032,,***,7017.0,,Tobit,0.0,1.0,全国29省(CRHPS),2015;2017,subgroup,,0.531,,表7(小规模(<10亩)),按播种面积分组:小规模(<10亩),cn_g2.csv,8.0625,7017.0,0.09580576580110106,0.01188288568075672,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.392,0.056,,***,2280.0,,Tobit,0.0,1.0,全国29省(CRHPS),2015;2017,subgroup,,0.531,,表7(中等及以上规模(>=10亩)),按播种面积分组:中等及以上规模(>=10亩),cn_g2.csv,7.0,2280.0,0.14504851796323842,0.020721216851891204,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.302,0.036,,***,5262.0,,Tobit,0.0,1.0,粮食主产区13省,2015;2017,subgroup,,,,表8(粮食主产区),分区域,cn_g2.csv,8.38888888888889,5262.0,0.11487993025050197,0.013694296321251891,,none
22农机服务市场发育与种植结构_趋粮化_-胡霞,胡霞、周旭海、罗崇佳2023,cn,Area,AMS,cgrn,粮食作物播种面积占比(0-1),农机服务市场发育程度(村庄采用农机服务农户占比),0.185,0.046,,***,4035.0,,Tobit,0.0,1.0,非粮食主产区18省市,2015;2017,subgroup,,,,表8(非粮食主产区),分区域,cn_g2.csv,4.021739130434782,4035.0,0.06318637311637469,0.01571120628839587,,none
