编号,作者_年份,样本量,PCC,SE_PCC,弹性,Target,Indicator_Type,Path,N_check,N_used,LogN
E_16,Wang_2015,360,0.061,0.053,0.155,Yield,Capital,MCI,1394,1394,7.239932591320469
E_17,Wang_2025,2024,0.227,0.021,0.252,Yield,AMS,AMS,2024,2024,7.612831030407356
E_18,Li_2022,935,-0.139,0.032,-0.108,Yield,Capital,MCI,935,935,6.8405465292886865
E_19,Zheng_2021,558,0.05,0.042,0.038,Yield,Capital,MCI,558,558,6.324358962381311
E_20,Sun_2024,708,0.066,0.037,0.134,Efficiency,AMS,AMS,708,708,6.56244409369372
E_21,Chandio_2024,336,0.233,0.053,0.18,Yield,Capital,MCI,336,336,5.817111159963204
E_22,Li_2024,351,0.229,0.052,0.225,Efficiency,Rate,AML,294,294,5.683579767338681
E_23,Li_2025,682,0.166,0.038,0.038,Yield,Capital,MCI,681,681,6.523562306149512
E_24,Qiao_2023,459,0.464,0.041,0.584,Yield,Rate,AML,526,526,6.265301212737709
E_25,Abate_2021,40,0.32,0.15,0.185,Yield,Rate,AML,40,40,3.6888794541139363
E_26,Wu_2021,221,0.125,0.067,0.079,Yield,Capital,MCI,221,221,5.3981627015177525
